stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  7-9,0,5.26,0,0,0,0,0,0,0,5.26,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,3.15,0,0,0,0,6.29,0,0,0,0,0,3.15,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,1,0,0,2,0,0,0,0
 24-34,0.82,0,0.82,0,0.82,0.82,0,0,0,0,0,0,0.82,0,3.28,29.55,0,3.28,0,0,0,0,7.39,0,0,0,0
 36-46,0,0,0,0,0.81,2.42,0,0,0,0,0,0,4.83,0,3.22,52.37,0.81,4.83,0.81,0,0,0,17.72,0,0,0,0.81
 48-58,0,0,0.57,0,12.62,1.72,0.57,1.15,0,0,0,0.57,9.18,1.15,1.72,86.64,1.15,1.72,0,0,0,1.72,13.77,0,1.15,0,0
 60-70,0,0,0,0,27.48,4.91,0,0.98,0,0,0,0,23.56,0.98,0.98,133.49,1.96,1.96,0,0,7.85,0,17.67,0,0.98,0,0.98
 72-82,0.98,0,1.96,0.98,45.16,3.93,0,2.94,0,0,0.98,0,15.71,1.96,4.91,138.41,0,3.93,0,0,9.82,0.98,6.87,0,0,0,5.89
 84-94,1.06,0,1.06,0,30.8,1.06,0,1.06,2.12,0,0,0,20.18,10.62,2.12,64.78,0,3.19,0,0,4.25,0,4.25,0,1.06,0,7.43
 96-106,0,0,1.09,0,13.11,3.28,0,2.19,2.19,0,0,0,6.56,2.19,5.46,52.46,0,7.65,0,0,8.74,0,3.28,0,2.19,0,4.37
108-118,0,0,1.53,0,9.19,1.53,0.77,3.83,0,0,0,0,6.13,3.83,3.83,38.3,0.77,0,0,0,17.62,0,3.83,0.77,1.53,0,1.53
120,0,0,1.96,0,7.84,5.88,0,0,0,0,0,0,11.76,3.92,5.88,52.91,0,1.96,0,0,27.44,0,3.92,0,0,1.96,3.92
