stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,197.67,2609.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0,0,0
  5-6,36.78,508.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,6.13,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,7.89,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,3.15,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,12.59,0,0,0,0,3.15,3.15,0,0,0,0,0
 14-21,0,0,0,0,7,69,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,2,0,0,3,14,0,1,1,1,0,2,0,8,1,7,3,0,0,0,0
 24-34,0,0,0,0.82,4.1,26.27,0,1.64,0,0,0,0,1.64,0.82,0.82,7.39,2.46,0.82,0.82,1.64,0.82,0,0.82,0,1.64,67.31,0,4.1,1.64,0,0,4.1,0,0,3.28,0,13.13,0,0,4.1,1.64
 36-46,0,0,0,0,3.22,1.61,0,3.22,0,0,0,10.47,0,0,0.81,9.67,2.42,0,0,0.81,0,0.81,0,0,0,173.22,0,4.03,1.61,0,0,5.64,0,0,1.61,0.81,15.31,0,0,1.61,4.03
 48-58,0,0,0.57,0,2.3,5.16,0,11.48,0,0,0,25.82,0,0,0,8.03,1.72,0,1.15,0.57,0,3.44,0,0.57,1.15,125.09,0,0,0.57,0,0,2.87,0,0,0.57,0,16.07,0,0,1.15,6.31
 60-70,0,0,0,0,10.8,14.72,0,114.84,0.98,1.96,0,59.87,0.98,0,0.98,12.76,0.98,0,1.96,0,0.98,20.61,0.98,0,0.98,287.59,0,1.96,4.91,0,1.96,8.83,0,0,0.98,0,27.48,0,0,3.93,8.83
 72-82,0,0,0,0,6.87,66.75,0,195.35,0,0.98,0.98,54.97,4.91,1.96,0.98,32.39,3.93,0,3.93,0,0.98,39.27,0.98,1.96,2.94,255.23,0.98,0.98,10.8,0,0.98,5.89,0,0,2.94,0,23.56,1.96,0,5.89,4.91
 84-94,0,0,0,0,20.18,59.47,0,132.75,2.12,5.31,1.06,33.99,12.74,1.06,1.06,29.74,4.25,0,4.25,2.12,1.06,26.55,3.19,4.25,0,118.95,0,2.12,5.31,0,0,19.12,0,0,3.19,0,23.36,2.12,2.12,4.25,3.19
 96-106,0,0,4.37,0,18.58,85.24,1.09,128.96,0,0,0,27.32,12.02,0,0,48.09,12.02,0,3.28,3.28,1.09,26.23,3.28,0,0,131.14,0,4.37,7.65,0,3.28,29.51,0,0,3.28,0,6.56,1.09,0,7.65,3.28
108-118,0,0,0.77,0,20.68,39.06,2.3,85.02,1.53,0.77,0.77,29.87,9.96,0,0,45.96,6.89,1.53,3.06,3.83,0.77,14.55,3.83,2.3,0,130.98,0,0.77,9.19,0,0.77,17.62,0,0,2.3,0,4.6,2.3,0,4.6,6.13
120,0,0,0,1.96,27.44,43.12,0,64.67,0,0,1.96,15.68,11.76,0,1.96,39.2,9.8,0,0,0,0,17.64,3.92,0,0,125.43,0,1.96,5.88,0,0,15.68,0,0,0,0,0,1.96,0,9.8,0
