stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,0,128.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.26,0,0,0,2.63,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,1,4,11,0,3,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,3,22,1,0,0,1,0,1,8,0,1,6,14,0,0,0,0,0
 24-34,0,0,0,0.82,0,0,3.28,0,0,0,0.82,0,0,0,0,0.82,0.82,0,0,4.93,0,0,3.28,36.94,0,0,0,0,0,0.82,0,0,0,0,8.21,0,0,0.82,0,0.82
 36-46,0,0,0,1.61,0,0,3.22,0,0,0,0.81,0,0,0,0,0,0,0,0,5.64,0,0,2.42,51.56,0,0,0.81,0,0,1.61,0,0,0,0,5.64,0,0,0.81,0,0
 48-58,0,0,0,0,0,0,16.07,0,0.57,0,3.44,0,0,0.57,0,0,0,0,0.57,5.16,0,0.57,1.72,31.56,1.15,0,0.57,0,0,0.57,0,0,1.15,0,6.89,0,0,1.72,0,0
 60-70,0,0,0,0.98,0,0,18.65,0,0,0.98,3.93,0.98,0,0,0,0,0,0,0,12.76,0,0,0,40.24,0.98,0,0,0,0,0.98,0,0,0,0,11.78,0,0,0,0,0
 72-82,0,0,0,0.98,0.98,0,11.78,0,0.98,0,5.89,0,0.98,0,0.98,0,0,0,0,8.83,0,3.93,1.96,31.41,0,0,0.98,0,0,2.94,0,0,0,0,3.93,0,0.98,2.94,0,0
 84-94,0,0,0,1.06,1.06,0,12.74,0,0,0,5.31,0,0,0,0,0,0,1.06,0,8.5,0,1.06,1.06,14.87,0,0,0,0,0,0,0,0,0,0,1.06,0,0,1.06,0,0
 96-106,0,0,0,2.19,2.19,0,6.56,1.09,0,0,2.19,2.19,0,0,2.19,0,0,0,1.09,6.56,1.09,1.09,1.09,12.02,1.09,0,0,0,7.65,5.46,0,0,0,0,1.09,0,0,1.09,1.09,1.09
108-118,0,0,0,3.83,0.77,0.77,6.89,0.77,0.77,0,5.36,0,0,0,1.53,0,0.77,1.53,0,6.13,0,2.3,3.83,17.62,0,0,0.77,0,6.89,3.06,0,0,0.77,0,0.77,0.77,0,0.77,0.77,0
120,0,0,0,1.96,0,0,5.88,0,0,0,9.8,0,0,0,0,0,0,1.96,0,3.92,0,0,1.96,11.76,0,1.96,0,0,3.92,5.88,0,1.96,0,0,1.96,0,0,3.92,0,0
