stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,immune,ionocyte,mesenchyme,mural.cell,muscle,neural,paraxial.mesoderm,periderm,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
 24-34,0,0.82,0,0,0,0,0,0.82,5.75,0,0,0,0,0,5.75,0,0,14.78,2.46,0,0.82,0
 36-46,0,0,0,0.81,0.81,0,0,0,7.25,0,0,0,0,1.61,1.61,0.81,0,9.67,0,0,0,0
 48-58,0,0,0,0,2.87,0,0,1.15,2.87,0,0,0,0,0.57,2.3,0,0,2.3,0,0,0,0
 60-70,0,0,0,2.94,9.82,0,0,0,2.94,0,0,0,0,1.96,5.89,0,2.94,1.96,0,0,0,0
 72-82,0,0,0,5.89,14.72,0,1.96,0,1.96,0,0,1.96,0,0,11.78,0,0.98,1.96,0,0.98,0.98,0
 84-94,0,0,0,4.25,25.49,0,0,0,4.25,0,0,0,0,3.19,5.31,0,3.19,1.06,0,0,0,0
 96-106,0,3.28,0,6.56,32.79,1.09,0,0,6.56,1.09,0,0,1.09,3.28,14.21,0,0,4.37,0,0,0,1.09
108-118,0,0,0,3.83,24.51,0,0.77,0,3.06,0,0.77,3.83,0,0.77,6.13,0,0,0.77,0,0,0.77,0
120,0,0,1.96,3.92,13.72,0,0,1.96,1.96,0,0,0,0,1.96,9.8,0,1.96,0,0,0,0,0
