stage,blastomeres,epidermis,eye,glial,gut,heart,mesenchyme,muscle,neural,otic,paraxial.mesoderm,periderm,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,10.51,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,12.59,0,9.44,0,0,0,0,0
 14-21,0,1,0,1,0,0,1,0,7,0,0,0,1,0,0,0
 24-34,0,1.64,2.46,0,0,0,2.46,0.82,18.88,0,0,0.82,0.82,4.1,0,0
 36-46,0,0.81,4.83,0,0,0,1.61,0,9.67,0,0,0.81,0,3.22,0,0
 48-58,0,0.57,5.74,0,0,0.57,0.57,0,5.16,0,0,0,0,1.72,0,0
 60-70,0,0,4.91,0,0.98,0,0.98,0,5.89,0.98,0,0,0,0,0.98,0
 72-82,0,0,2.94,0,0,0,1.96,0.98,1.96,0,0,0,0,0,0,0
 84-94,0,1.06,2.12,1.06,0,0,2.12,0,1.06,0,0,1.06,0,0,0,0
 96-106,0,1.09,2.19,1.09,0,0,2.19,0,1.09,0,0,1.09,0,0,0,0
108-118,0,0,0.77,1.53,0,0,0.77,0,2.3,0,0,0,0,0,0,0.77
120,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0
