stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,224.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,128.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,44.69,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,9.44,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,69.23,9.44,0,18.88,0,0,6.29,0,6.29,0,3.15,0,0,0,0
 14-21,0,0,2,18,3,6,0,0,0,2,0,0,1,0,0,22,0,0,18,63,11,0,0,0,0,0,8,1,2,5,35,1,0,0
 24-34,0,0,1.64,4.1,0.82,9.85,0.82,0,0,0.82,0.82,0,0,2.46,0,20.52,0,0,9.03,46.79,27.09,0,0,0,0,0,0,0,0.82,1.64,36.12,3.28,0,0.82
 36-46,0,0,0,0.81,0,20.14,0.81,0,0.81,0,0,0,0,1.61,0,8.86,0,0.81,2.42,29.81,38.67,0.81,0,0,0,0,0,0,0.81,0,15.31,2.42,0,0
 48-58,0,0,0,0,0,32.71,0,0,1.72,0,0,0,0,0,0.57,6.31,0,0.57,2.3,11.48,9.75,0,0,0,1.15,0,0,0,0.57,0,10.9,0,0,0.57
 60-70,0,0,0,0,0,29.45,0,0,0.98,0,0,0,0,0,0,2.94,0,0,3.93,8.83,6.87,0,0,0,0,0,0,0,0.98,0,0.98,0,0,0
 72-82,0,0,0,0,0.98,20.61,0.98,0.98,3.93,0,0,0,0,0,0,2.94,0,0,0.98,6.87,1.96,0,0,0.98,0,0,0,1.96,0,0,0,0,0,0
 84-94,0,0,0,0,0,69.03,0,1.06,0,0,0,0,1.06,0,0,1.06,0,0,2.12,5.31,2.12,0,0,0,1.06,0,0,1.06,0,0,0,0,1.06,0
 96-106,0,0,0,1.09,0,69.94,0,0,0,1.09,1.09,0,0,1.09,0,2.19,1.09,0,0,10.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0,94.21,0,0,1.53,0.77,0,0.77,0,0.77,0,0.77,0,0,2.3,5.36,0,0,0,0,0,0,0,3.06,0,0,0,0,0.77,0
120,0,0,0,0,0,19.6,0,0,1.96,0,0,0,0,0,0,3.92,0,1.96,0,5.88,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0
