stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,gut,immune,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,somites,spinal_cord
  3-4,65.89,1186.01,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0
  5-6,36.78,545.54,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,18.39,0,0,0
  7-9,2.63,2.63,0,0,5.26,0,0,0,0,0,21.03,5.26,0,0,15.77,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,22.03,3.15,0,0,0,0,0,0,0
 14-21,0,0,3,0,0,0,0,0,0,1,4,0,0,0,0,0,1,1,6
 24-34,0,0,0,0,0.82,0,0,0,2.46,0,9.03,0,0,0.82,0,0,0,0.82,0.82
 36-46,0,0,0.81,0,1.61,0.81,0,0,0.81,0,12.89,0,0.81,0,0,0,0,0,1.61
 48-58,0,0,0,0,1.15,0.57,0,0,1.15,0.57,10.33,0,0,0,0,0,0,0,0.57
 60-70,0,0,0,0,4.91,0,0,0,0,0,10.8,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,3.93,0,0,0,0,0,5.89,0,0,0,0,0.98,0,0,0.98
 84-94,0,0,0,0,4.25,1.06,0,0,0,0,3.19,0,0,1.06,0,0,0,0,0
 96-106,0,0,1.09,1.09,0,0,0,0,2.19,0,1.09,0,0,0,0,0,0,0,0
108-118,0,0,1.53,0,0.77,0,0.77,0.77,0,0,3.83,0,0,0,0,0,0,0,0
120,0,0,0,0,0,1.96,0,0,0,0,7.84,0,0,0,0,0,0,0,0
