stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.82,0,0,0,40.91,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,2,51,1,4,0,1,0,0,2,3,0,0,0,0,0,1,9,0,0,10,26,3,0,1,9,0,1,6,0,2,52,0,0,2,0,0
 24-34,0,1.64,40.22,0,5.75,0.82,11.49,0,2.46,0.82,6.57,0,0,0,0,0,4.1,37.76,0,0,29.55,38.58,6.57,0,0,0,0,0.82,0,0.82,4.1,19.7,0,0,24.63,0,0.82
 36-46,0,0,28.2,0,7.25,0,2.42,0.81,5.64,0,3.22,0.81,0,0,0,0,1.61,66.87,0,3.22,17.72,33.03,1.61,0,0.81,0,0,0,0,0,0,8.06,0,0,29.81,0,1.61
 48-58,0,0,13.2,0,2.3,0,1.72,1.15,5.16,0.57,4.02,0.57,0.57,0,0,0,2.87,82.63,0.57,1.72,21.23,26.4,1.72,0.57,0,0,0,0,0,0,0,9.75,0,1.72,13.77,0,0.57
 60-70,0,0,16.69,0.98,6.87,0.98,1.96,1.96,7.85,3.93,1.96,0,0,0,0.98,0,0.98,139.38,0,2.94,11.78,15.7,0.98,0,0,0,0,0.98,0,0,0,5.89,0,2.94,19.63,0.98,1.96
 72-82,0,0,8.83,0,12.76,0.98,2.94,2.94,15.71,0.98,4.91,0.98,0.98,0.98,0,0,1.96,186.52,0,1.96,17.67,24.54,0.98,0,0,0,2.94,0,0,0.98,0,0.98,0.98,5.89,27.49,6.87,3.93
 84-94,0,0,30.8,1.06,13.81,0,2.12,1.06,8.5,5.31,1.06,4.25,1.06,1.06,0,1.06,2.12,79.65,0,5.31,8.5,9.56,0,0,3.19,0,3.19,0,0,0,0,2.12,0,4.25,22.3,3.19,2.12
 96-106,0,0,13.11,1.09,8.74,0,4.37,2.19,5.46,2.19,3.28,0,0,1.09,0,0,1.09,90.71,0,2.19,4.37,13.11,0,1.09,0,0,3.28,1.09,0,0,0,0,1.09,4.37,9.84,1.09,7.65
108-118,0,0,17.62,0.77,3.83,0,4.6,0,3.06,2.3,1.53,1.53,0.77,0.77,0.77,2.3,2.3,72,0,0.77,8.43,8.43,0,0,2.3,0,3.06,0,0,1.53,0,0,0,2.3,16.09,1.53,1.53
120,0,0,17.64,0,9.8,0,5.88,0,5.88,1.96,1.96,0,0,0,1.96,0,1.96,50.95,0,1.96,1.96,9.8,0,0,3.92,0,0,0,0,0,0,0,0,1.96,7.84,0,0
