stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,glial,gut,hatching.gland,ionocyte,iridophores,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,31.54,0,0,0,13.14,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,6.29,0,3.15,0,0,0,0
 14-21,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0.82,0,0.82,0,0,0,0,0,0,0,0,0,0.82,6.57,0,0,0.82,0,2.46,0,0,0.82,2.46,2.46
 36-46,0,0,0,1.61,0,1.61,0,0,0,0,0,0,0,0,0,0,4.03,0,0.81,0,0,2.42,0,0,0,1.61,0
 48-58,0,0,0,1.15,0,0,0,1.15,0,0,0.57,0,0,0,0,0,4.02,0,0,0,0,0,0,0,0,1.72,0.57
 60-70,0,0,0,0.98,0,2.94,0.98,0.98,0,0,0,0.98,0,0.98,4.91,0,4.91,0,0,0,0,0.98,0,0.98,0,0.98,0
 72-82,0,0,0.98,0,0,0,0,0,0.98,0,0,0,0.98,0,1.96,0,4.91,0,0.98,0,0,0.98,0,0,0,0.98,0
 84-94,0,0,0,0,0,5.31,0,0,1.06,0,1.06,0,0,0,1.06,1.06,3.19,1.06,1.06,0,0,4.25,0,0,0,0,2.12
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09,0
108-118,0,0,0,0.77,0,0,0,0.77,0,0,0.77,0,0,0,0.77,0.77,0.77,0,0.77,0,0,0,0,0.77,0,0,0.77
120,0,0,0,0,1.96,0,0,0,0,0,0,0,1.96,0,0,0,3.92,0,0,0,0,1.96,0,0,0,0,0
