stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,158.14,2820.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.42,0,0,0,0,0,0,0,0,0,0
  5-6,220.67,2850.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.91,6.13,0,0,12.26,0,61.3,0,0,0,0,0,0,0,0,0,0
  7-9,189.27,52.57,15.77,0,7.89,34.17,0,0,0,0,0,42.06,0,0,0,0,0,0,0,0,0,0,0,851.7,92,0,0,686.09,0,2.63,13.14,0,0,0,0,0,0,0,0,0
 10-12,6.29,88.12,94.41,0,62.94,47.2,0,0,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0,3.15,1123.47,107,0,0,409.11,0,0,3.15,9.44,34.62,0,28.32,6.29,0,0,0,0
 14-21,0,0,4,85,13,51,0,0,0,0,0,1,6,0,0,0,0,0,3,253,0,0,250,669,47,2,23,4,0,2,0,94,2,133,555,191,0,1,0,7
 24-34,0,0,2.46,36.94,0.82,32.01,3.28,0.82,9.85,0,0,0.82,5.75,0,0,0,1.64,0.82,0,227.38,0,1.64,110.82,168.28,21.34,0.82,31.19,0,0,0.82,0,0,0,17.24,98.5,26.27,0,1.64,0,4.1
 36-46,0,0,0,0,0.81,11.28,1.61,0.81,10.47,0.81,0,0,6.45,0,0,0,6.45,0,0,161.13,1.61,3.22,55.59,68.48,8.86,0.81,2.42,0,0,0,0,0,0,2.42,4.03,4.83,0,1.61,0.81,1.61
 48-58,0.57,0,0,3.44,0,8.61,2.87,0.57,14.35,2.3,1.15,0,4.59,0,0,0.57,4.59,0,0,211.73,0,10.9,52.22,49.92,0.57,0.57,2.87,0,0.57,0.57,0,0,0,0.57,0,6.31,0.57,0.57,0,0.57
 60-70,0.98,0,0,4.91,0,4.91,3.93,0,9.82,2.94,0,0,0.98,0,0,2.94,3.93,0,0,170.78,0,9.82,21.59,23.56,0,0,1.96,0,3.93,0,0,0.98,0,0.98,0,0.98,5.89,0,2.94,0.98
 72-82,0,0,0,2.94,0.98,9.82,6.87,0,35.34,2.94,0,0,3.93,0.98,0,4.91,5.89,0,0,224.8,0,12.76,26.5,32.39,0,0,0,0,5.89,0.98,0,0,0,0,0,0.98,10.8,0,7.85,0.98
 84-94,0,0,0,4.25,0,16.99,9.56,0,16.99,5.31,0,0,4.25,0,0,5.31,4.25,0,0,149.75,0,19.12,19.12,9.56,0,1.06,2.12,0,5.31,3.19,0,0,0,2.12,0,0,8.5,0,6.37,0
 96-106,0,0,0,1.09,0,5.46,4.37,0,10.93,6.56,1.09,0,1.09,1.09,0,4.37,4.37,0,0,158.46,0,12.02,15.3,16.39,0,0,0,0,8.74,2.19,0,0,0,0,0,0,6.56,1.09,12.02,0
108-118,0,0,0,3.83,0,5.36,3.06,0,13.02,3.06,0,0,1.53,0,0.77,0.77,2.3,0,0,127.92,0.77,4.6,10.72,11.49,0,0,2.3,0,8.43,0,0,0,0,0,0,0,1.53,0.77,1.53,0
120,0,0,0,5.88,1.96,7.84,3.92,0,13.72,1.96,3.92,0,0,0,0,5.88,1.96,0,0,113.67,0,3.92,7.84,13.72,0,0,0,0,3.92,5.88,0,0,0,0,0,0,3.92,0,11.76,0
