stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,1,0,0,18,104,45,0,0,20,0,0,8,10,17,0,2,0,0,0,33,1,0,13,13,0,0,1,0,2,1,0,0,7,4,0,0,6,0,0
 24-34,0.82,0,0,9.03,42.68,5.75,0.82,0,25.45,0,0.82,0,0,11.49,0,0.82,0,1.64,0,32.01,0.82,0,18.88,13.95,0,0.82,0,1.64,0.82,0,0.82,0.82,3.28,10.67,0,0,64.03,0,0
 36-46,0,0,0,0.81,11.28,3.22,0.81,0,5.64,0.81,0,0.81,0,8.86,0,0.81,0,0,0.81,60.43,0,3.22,37.87,23.36,0,0,0,0,0,0,0,0.81,0,20.95,0,0.81,74.93,0,0
 48-58,0,0,0,0.57,6.89,0.57,3.44,0,4.59,1.15,0.57,0,0,18.36,0,0,0,0,0,98.69,0,19.51,49.35,39.02,0,0,0,0.57,0,0,0,0,0,26.4,0,2.3,63.69,0,0
 60-70,0,0,0,0,4.91,0,5.89,0,4.91,0,6.87,1.96,0,17.67,0,0.98,0,0.98,0,151.15,0,42.21,53,38.28,0,0,0,2.94,0.98,0,0,0.98,0,50.06,0,9.82,56.93,6.87,0
 72-82,0,0,0,0,6.87,1.96,25.52,0,0,2.94,5.89,7.85,0,28.47,0,0.98,0.98,5.89,0,258.18,0,48.1,66.75,80.5,0.98,1.96,0,2.94,0.98,0,0,0,0,40.25,0,21.6,117.8,31.41,0
 84-94,0,0,0,1.06,12.74,1.06,28.68,1.06,5.31,4.25,3.19,6.37,0,12.74,1.06,1.06,1.06,6.37,0,176.3,0,50.98,48.85,43.54,1.06,0,0,3.19,0,0,0,0,0,24.43,0,28.68,115.76,35.05,0
 96-106,0,0,1.09,2.19,24.04,7.65,28.41,0,3.28,2.19,5.46,16.39,0,41.53,1.09,3.28,2.19,5.46,0,221.85,1.09,36.06,42.62,45.9,0,0,0,5.46,3.28,0,2.19,1.09,0,10.93,1.09,13.11,144.26,50.27,1.09
108-118,0,0,1.53,0.77,4.6,1.53,9.96,0,3.83,2.3,0.77,11.49,0,14.55,0,3.83,0.77,5.36,0,220.6,0,26.04,36,65.11,0,2.3,0,3.06,1.53,0,1.53,1.53,0,6.13,1.53,5.36,124.85,39.83,0
120,0,0,0,3.92,9.8,3.92,3.92,0,1.96,0,3.92,25.48,0,21.56,0,1.96,0,1.96,0,158.74,1.96,25.48,25.48,72.51,0,0,0,0,1.96,0,0,1.96,0,11.76,0,9.8,121.51,29.4,0
