stage,blastomeres,epidermis,erythrocytes,eye,glial,hatching.gland,immune,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,paraxial.mesoderm,taste,vasculature
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.26,0,0,0,0,0,0,0,21.03,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,15.73,0,3.15,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,0,0,1.64,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0.81
 48-58,0,0,0,0,0,0,0.57,0,1.72,0,0.57,0.57,0,0,0,0.57
 60-70,0,0,0,0.98,0.98,0.98,0.98,0,0.98,0,0,0,0,0,0,2.94
 72-82,0,0.98,0,0,0,0,5.89,0,6.87,0,0,2.94,0,0,0.98,1.96
 84-94,0,0,0,1.06,1.06,0,6.37,0,6.37,0,0,2.12,0,0,0,2.12
 96-106,0,0,0,0,1.09,0,14.21,0,4.37,0,0,0,0,0,0,6.56
108-118,0,0.77,0,0,0.77,0,12.26,0.77,6.89,0.77,0,3.06,0,0,0,2.3
120,0,0,0,1.96,0,0,21.56,0,7.84,0,0,0,0,0,0,5.88
