stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,4,0,0,0,0,0,0,1,0,2,0,0,0,0,0
 24-34,0,0,0,22.16,0,0,0.82,0,0,0,0,1.64,0,1.64,0,4.93,0,0,0.82,0,2.46,0,0,0,0,0,0,0,0.82,0.82,0,0,0,0,0
 36-46,0,0,0,0.81,0,0,0,0,0,0,0,0.81,0,0.81,0,0.81,0,0,0,0,2.42,0,0,0,0,0,0,0,0.81,4.03,0,0,0,0,0
 48-58,0,0,0,0.57,0,0,0.57,0,0,0,1.15,0.57,0,4.02,0,3.44,0,1.15,0,0,3.44,0,0,0,0,0,0,0,1.72,1.15,0,0,0,0,0
 60-70,0,0.98,0,0.98,0,0,3.93,0,0,0,1.96,15.7,0,0.98,0,17.67,0,0.98,0,0,0.98,0,0,0,0,0,0,0,7.85,0,0,0,0,0,0
 72-82,0,0.98,0,0.98,0,0,3.93,0,0,0.98,1.96,122.71,0,4.91,0.98,114.85,0,5.89,0,0,33.38,0.98,0,0,0,0,0,0,20.61,0.98,0,0,0.98,0.98,0
 84-94,0,1.06,1.06,1.06,2.12,0,8.5,0,0,0,0,285.69,0,8.5,0,408.88,0,5.31,1.06,0,23.36,0,0,0,0,0,2.12,0,74.34,1.06,0,0,1.06,0,0
 96-106,0,0,0,5.46,4.37,1.09,15.3,0,2.19,0,3.28,402.17,1.09,5.46,1.09,688.49,1.09,19.67,0,1.09,132.23,0,0,3.28,0,0,6.56,0,67.76,0,2.19,0,1.09,0,1.09
108-118,0,1.53,0.77,5.36,2.3,2.3,20.68,0,0.77,0.77,3.83,489.45,0,6.89,0,1355.75,0,16.09,1.53,3.06,112.6,0,1.53,0.77,0,0.77,6.89,0,94.21,0.77,0.77,1.53,0,0.77,0
120,0,0,0,3.92,3.92,0,5.88,1.96,0,0,3.92,346.88,0,1.96,0,650.65,0,17.64,0,1.96,86.23,0,0,0,0,1.96,3.92,0,45.08,0,0,0,0,0,0
