stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,2.63,0,0,15.77,0,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,81.82,9.44,0,0,22.03,0,0,0,0,0,0,0
 14-21,0,0,4,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,33,0,0,0,0,0,2,0,6,6,0,0
 24-34,0,0,0,0.82,0,8.21,0,4.93,0,0,0,0,0,0,0,0,2.46,0,0.82,39.4,0,0.82,1.64,0,0,0,0,0,9.03,0,0.82
 36-46,0,0,0,0,0,0,0,2.42,0,0,0,0,0.81,0.81,0.81,1.61,4.03,0,0,15.31,0,0,0.81,0.81,0,0,0,0,6.45,0,0
 48-58,0,0,0,0.57,0,4.02,0,2.3,0.57,0,0,0,0,0.57,0,0,2.87,0.57,1.15,5.74,0,0,0,0,0,0,0,0,2.3,0,0.57
 60-70,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0.98,0,0
 72-82,0,0,0,0,0,5.89,0,3.93,0.98,0,0.98,0.98,0,0,0.98,0,1.96,0,0.98,13.74,0,0,0,0,0,0,0,0,1.96,0,0
 84-94,0,0,0,0,0,3.19,0,3.19,1.06,0,0,2.12,0,1.06,0,0,0,0,0,6.37,0,0,1.06,0,0,0,0,0,1.06,0,0
 96-106,0,0,0,0,1.09,5.46,0,4.37,0,0,0,2.19,0,2.19,0,1.09,5.46,0,0,8.74,0,1.09,0,0,0,0,0,0,1.09,1.09,1.09
108-118,0,0,0,0.77,0.77,7.66,0.77,6.89,0.77,0,0,0.77,0.77,1.53,0.77,0,0,0,0,13.79,0,0,0,0,0.77,0,0.77,0,1.53,0,0.77
120,1.96,0,0,0,0,7.84,0,1.96,1.96,0,1.96,0,1.96,0,0,0,0,0,3.92,11.76,0,0,1.96,0,0,0,0,0,0,0,1.96
