stage,axial,blastomeres,endoderm,eye,glial,hatching_gland,liver,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,pronephros,spinal_cord,vasculature
  3-4,0,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,104.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,5.26,2.63,0,0,0,0,0,42.06,2.63,0,23.66,0,0,0
 10-12,0,0,9.44,9.44,0,3.15,0,0,0,113.29,0,0,62.94,3.15,3.15,0
 14-21,0,0,0,0,1,0,0,2,1,4,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0.82,0,4.1,0,0,0,0,1.64,0
 36-46,0,0,0,1.61,0,0,0,0,0,3.22,0,0,0,0,1.61,0
 48-58,0,0,0,1.15,0.57,0,0,1.72,0,0,0,0,0,0,0,0.57
 60-70,0,0,0,0,0,0,0,0,0,2.94,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,1.06,0,0,0,0
108-118,0,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0
