stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,13.14,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,15.73,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,5,3,2,0,6,0,0,0,0,1,0,0,5,0,1,66,1,0,2,0,0,1,7,0,0,43,0,0,8,0,0
 24-34,0,0,0,1.64,1.64,0.82,23.8,0,0,2.46,1.64,0,0,0,10.67,0.82,8.21,192.9,0,0,1.64,0,0,0,0,0,1.64,71.41,0,0,14.78,0,0
 36-46,0,0,0,0,8.86,0,47.53,0,0,2.42,0,0,0.81,0.81,13.7,0,1.61,153.08,0,1.61,0.81,0,0,0,0,0,0,60.43,0,0,10.47,0,0
 48-58,0,0,1.15,0,7.46,1.15,57.38,0,0,1.15,0,0,0.57,1.15,14.35,0,0.57,74.02,0.57,0,1.15,0,0,0.57,0,0,0,26.97,0,0,7.46,0,2.87
 60-70,0,0,0,0.98,20.61,0.98,83.43,0,0,0.98,0,0,2.94,0,12.76,0.98,0.98,41.22,0,0,0.98,0,0,0,0,0,0,11.78,0,0,3.93,0,2.94
 72-82,0,1.96,2.94,0,19.63,2.94,68.72,0,0,1.96,0.98,0,0,0,16.69,0,0,37.3,0,0,0.98,0,0,1.96,0,0.98,0,5.89,0,0.98,22.58,0,4.91
 84-94,0,2.12,0,0,7.43,1.06,54.16,0,0,0,1.06,0,3.19,0,15.93,2.12,1.06,26.55,0,0,2.12,0,0,1.06,0,0,0,4.25,0,0,24.43,2.12,6.37
 96-106,0,0,2.19,1.09,13.11,0,44.81,1.09,0,2.19,0,0,1.09,0,14.21,2.19,1.09,26.23,0,0,0,0,0,1.09,0,0,0,2.19,0,0,15.3,1.09,3.28
108-118,0,0.77,0.77,0,13.02,0,42.89,1.53,0,2.3,0.77,0,3.83,3.06,11.49,0.77,0,21.45,0,1.53,0,0,1.53,1.53,0,0,0,3.06,0.77,0,14.55,1.53,10.72
120,0,0,1.96,0,13.72,0,35.28,0,0,1.96,0,0,0,0,11.76,3.92,0,31.36,0,0,0,0,0,0,0,0,0,1.96,0,0,13.72,0,0
