stage,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,iridophores,mesenchyme,muscle,neural,notochord,periderm,spinal.cord,taste,vasculature,xanthophores
 14-21,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,0.82,0,3.28,0,0,0,0,0.82,0
 36-46,0,0,0,1.61,0,0,0,0,0,0,0.81,7.25,0,0,1.61,0,0,0
 48-58,0.57,0,0,29.84,0,0.57,0,0,0,0,0,5.74,0,0,0.57,0,0,0
 60-70,0,0,0,129.56,0,0,0,0,0,1.96,0,14.72,0,0,0,0,0,0
 72-82,0,1.96,0,141.36,0,1.96,3.93,0,0,0,0,2.94,0,0,0,0,0,0.98
 84-94,0,0,0,109.39,0,1.06,2.12,0,0,2.12,0,1.06,0,1.06,0,0,0,0
 96-106,0,0,0,71.04,0,2.19,1.09,1.09,1.09,1.09,0,6.56,0,1.09,1.09,0,0,0
108-118,0,0,0.77,44.43,0,0,0,0.77,0.77,2.3,0,3.06,0,0.77,0,0.77,0,0
120,0,0,0,43.12,1.96,0,0,3.92,0,1.96,0,3.92,0,0,1.96,0,0,0
