stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,13.18,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,30.65,392.3,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,12.26,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0
  7-9,23.66,7.89,7.89,0,0,21.03,0,0,0,0,10.51,0,0,0,0,0,0,181.38,2.63,0,0,31.54,0,2.63,2.63,0,0,0,0,0,0,0
 10-12,3.15,6.29,12.59,0,0,6.29,0,0,0,0,12.59,0,0,0,0,0,0,66.09,0,0,0,31.47,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,5,14,3,1,0,0,0,2,0,0,0,1,3,0,2,25,0,1,1,5,0,2,0,18,1,0,7,9,0,0
 24-34,0,0,0,3.28,0,0,0,0,0,0,0,0.82,0.82,0,4.1,0,2.46,18.88,0,1.64,4.93,0,0,10.67,0,0,0,0,2.46,7.39,0.82,0
 36-46,0,0,0,0,0,1.61,0,0,0.81,0,0,0,0,0,3.22,0.81,0.81,24.17,0,1.61,0.81,0,0,1.61,0,0,0,0,0,2.42,0,0
 48-58,0,0,0.57,1.72,0,2.3,0,0,2.3,0,0,0,0,0,0.57,0,0.57,9.18,0,1.72,0,0,0,1.15,0,0,0,0,0,0.57,0,0
 60-70,0,0,0,1.96,0,6.87,0,0,0,0,0,0,0,0,0.98,0,0.98,26.5,0,0,0,0,0,1.96,0,0,0,0,0,3.93,0,0.98
 72-82,0,0,0,0.98,0,4.91,0,0.98,2.94,0,0,0,0.98,0,2.94,0,0.98,16.69,0,0,0,0,0,0,0,0,0,0.98,0,2.94,0,0
 84-94,0,0,0,1.06,0,1.06,0,1.06,0,0,0,0,0,0,4.25,0,0,8.5,0,0,0,0,0,4.25,0,0,0,0,0,0,0,0
 96-106,0,0,0,2.19,0,2.19,1.09,1.09,0,1.09,0,0,0,0,2.19,0,0,1.09,0,0,0,0,0,3.28,0,0,0,0,0,1.09,1.09,0
108-118,0,0,0,0,0,1.53,0,0,0,0,0,0,0,0.77,0,0,0,4.6,0,0,0,0,0.77,1.53,0,0,0,0,0,0,0.77,0
120,0,0,0,1.96,0,0,0,0,0,0,0,0,1.96,0,0,1.96,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
