stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,395.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0,0
  5-6,12.26,214.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,36.78,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,84.12,0,0,0,2.63,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,120.92,2.63,0,0,31.54,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,66.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.53,6.29,0,0,28.32,0,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,0,7,13,1,0,0,0,3,0,0,2,0,0,0,0,0,0,0,1,0,0,2,5,4,0,0,2,0,1,1,0,1,3,0,0,1,0,0
 24-34,0,0,0,0.82,0.82,0,0,0.82,0,4.1,0,0,0,0,0.82,0,0,0,15.6,0,1.64,0,0,0,3.28,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0.81,0,0,3.22,0,1.61,0,3.22,0,0,0,0,0,0,8.86,0,0.81,0,0,0.81,4.83,0,0,1.61,0,0,0,0,0,0,1.61,0,0,0,0,0
 48-58,0,0,0,0,2.3,0,0,7.46,0.57,0,0,1.15,0,0,0,0,0,0,23.53,0,3.44,0,0,1.15,18.36,0,0,2.3,0,0,0,0,0,0,4.59,0,0,0,0,0.57
 60-70,0,0,0,0,2.94,0,0,17.67,0,0,0.98,0.98,0,0,0,0,0,0,39.26,0,8.83,0,0,0.98,28.46,0,0,4.91,0,0,4.91,0,0,0,0.98,0.98,0,0.98,0,2.94
 72-82,0,0,0.98,0,7.85,0.98,0,53.99,0.98,0.98,3.93,14.72,1.96,0,3.93,0.98,0.98,0.98,74.61,0.98,39.27,0.98,0,4.91,148.23,0.98,1.96,10.8,0,0.98,10.8,0.98,0,0,3.93,2.94,0,7.85,0.98,3.93
 84-94,0,0,0,0,3.19,5.31,1.06,32.92,0,1.06,0,5.31,1.06,0,0,1.06,1.06,1.06,110.45,1.06,18.05,1.06,1.06,2.12,57.35,0,0,6.37,0,0,15.93,1.06,0,0,3.19,23.36,0,2.12,0,2.12
 96-106,0,0,1.09,1.09,27.32,18.58,8.74,83.06,4.37,7.65,3.28,31.69,5.46,0,2.19,8.74,4.37,4.37,156.28,3.28,57.92,3.28,6.56,12.02,154.09,2.19,7.65,8.74,0,1.09,46.99,0,1.09,0,3.28,49.18,1.09,13.11,3.28,4.37
108-118,0,0,0,0,20.68,13.02,4.6,55.92,1.53,5.36,0,23.74,3.83,0,0,2.3,3.83,0.77,119.49,5.36,48.26,0,3.83,5.36,124.85,1.53,1.53,5.36,0,1.53,20.68,0.77,0.77,0,4.6,81.19,0.77,4.6,2.3,2.3
120,0,0,0,0,21.56,11.76,0,33.32,1.96,3.92,0,7.84,3.92,0,0,5.88,1.96,5.88,84.27,5.88,21.56,0,1.96,1.96,96.03,0,0,3.92,0,0,9.8,0,1.96,0,5.88,31.36,1.96,3.92,1.96,1.96
