stage,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,mesenchyme,muscle,neural,otic,periderm,slow.muscle,somites,spinal.cord,vasculature
 14-21,0,0,0,0,0,0,0,0,1,0,0,0,12,2,0,0
 24-34,1.64,0,2.46,0,0,0,0,0,2.46,11.49,0,0,10.67,2.46,4.1,0
 36-46,0,2.42,7.25,0,0,0.81,0,2.42,1.61,9.67,0,0,6.45,1.61,12.89,0
 48-58,0,0,5.16,0,0,0,0,0.57,0.57,5.74,0,0,1.15,0,2.3,0
 60-70,0,1.96,8.83,0,0,0,0,0.98,1.96,12.76,0,0,0,0,5.89,0
 72-82,0,2.94,5.89,0,0,0,0.98,1.96,0,3.93,0,0,0.98,0,0.98,0.98
 84-94,1.06,1.06,8.5,0,0,0,0,0,1.06,1.06,0,1.06,2.12,0,1.06,0
 96-106,0,1.09,1.09,1.09,0,0,0,1.09,1.09,2.19,0,0,0,0,0,0
108-118,0,0.77,3.83,0,0.77,0.77,0,0.77,0.77,3.06,0,0,4.6,0,0,0
120,0,1.96,3.92,0,0,0,0,0,0,1.96,3.92,0,0,0,0,0
