stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,glial,lateral.line,mesenchyme,neural,otic,spinal.cord,taste,vascular.smooth.muscle
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,0,0
 14-21,0,0,0,0,0,1,0,0,2,0,0,0,0
 24-34,0,0.82,0.82,0,0,0,0,0,1.64,0.82,0.82,0,0
 36-46,0,0.81,0,0,0.81,0,0,0,2.42,0,0.81,0,0
 48-58,0,0.57,0,0,4.59,0.57,0,0,4.59,0.57,0.57,0,0
 60-70,0,0,0,0,30.43,0.98,0,0.98,5.89,0,1.96,0,0
 72-82,0,0.98,1.96,0,45.16,0,0,0.98,7.85,0.98,0.98,0.98,0
 84-94,0,1.06,2.12,0,32.92,0,0,0,5.31,1.06,0,0,0
 96-106,0,3.28,0,1.09,30.6,3.28,1.09,1.09,9.84,0,0,0,0
108-118,0,1.53,0,0,38.3,5.36,0,0.77,9.19,0,0,0,0.77
120,0,0,1.96,0,52.91,7.84,0,0,9.8,0,1.96,0,0
