stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,15.73,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,1,0,4,1,0,0,0,2,0,0,0,0,4,0,2,14,0,0,0,1,1,5,0,1,9,19,0,0,0,0
 24-34,0,0,0,0,2.46,0,0.82,0,0,1.64,0.82,0,0,0,7.39,0,2.46,60.74,0,0,0,0,0,0.82,0,0,1.64,13.13,0,0.82,0,0
 36-46,0,0,0,0,0,0,14.5,0,0,2.42,0,0,0,0,5.64,0,2.42,106.35,0,0.81,0,0,0,0,0,0,0,16.92,0,0.81,0,0
 48-58,0,0,0,0,1.15,0,34.43,1.15,0,6.89,0,0,0.57,0,10.9,0.57,2.3,116.48,0,0,0,0,0,0,0,0,0,17.21,0,0.57,0,0
 60-70,0,0,0,0,0.98,0,75.58,0,0,10.8,0,0,0,0.98,14.72,0,0,102.08,0.98,1.96,0,0,0,0,0.98,0,0,11.78,0,1.96,0.98,0
 72-82,0,0,0.98,0,0.98,0,73.62,0,0.98,1.96,1.96,0,0,0,17.67,0.98,1.96,114.85,0,0,0.98,0,0,0,0,0,0,10.8,0,0.98,0,0.98
 84-94,0,0,2.12,0,2.12,0,24.43,0,0,1.06,0,0,1.06,0,9.56,0,3.19,33.99,0,3.19,0,0,1.06,0,1.06,0,0,4.25,0,1.06,0,0
 96-106,0,0,0,0,1.09,0,30.6,0,0,3.28,2.19,1.09,0,0,3.28,0,0,28.41,0,0,1.09,0,0,0,0,0,0,1.09,0,1.09,2.19,2.19
108-118,0,0,0,0,0,0,13.02,0,0,3.83,0,0,0,0,6.89,0,0.77,33.7,0,0,0,0,0.77,0,0,0,0,0,0.77,0.77,0,0.77
120,0,0,0,0,9.8,0,3.92,0,1.96,1.96,0,0,1.96,0,7.84,0,3.92,39.2,0,0,0,0,0,0,0,0,0,1.96,0,1.96,0,0
