stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,immune,iridophores,lateral_line,liver,mesenchyme,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,15.73,0,0,0,3.15,0,12.59,0,0
 14-21,0,0,0,1,12,0,0,0,0,0,0,0,3,6,0,0,1,0,0,87,2,1
 24-34,0,0,0,0,0,0,0,0,0,0,1.64,0,0,12.31,0,0.82,4.93,0,0.82,2.46,2.46,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,9.67,0,0,6.45,0,0,5.64,2.42,0
 48-58,0,0,0,0.57,0,1.15,1.15,1.15,0,0,0.57,0.57,0.57,6.89,0,0,4.02,0,0,2.87,0,0
 60-70,0,0,0,0,0,0.98,0,0,0,0,0,0,0,4.91,0,1.96,6.87,0,0,5.89,0,0
 72-82,0,1.96,0,0,0,3.93,0,5.89,0,0,0,0,0,6.87,0,0,9.82,0,0.98,0.98,0,0.98
 84-94,0,1.06,0,1.06,0,1.06,1.06,8.5,0,0,0,0,0,2.12,0,0,11.68,0,1.06,13.81,1.06,0
 96-106,0,2.19,0,0,0,1.09,1.09,12.02,0,0,1.09,0,1.09,6.56,0,0,16.39,0,2.19,4.37,0,0
108-118,0,0.77,0,0.77,0.77,0,0.77,13.79,0.77,0.77,1.53,1.53,1.53,3.06,0,0,14.55,0,0.77,6.89,0,0
120,0,0,0,0,0,0,1.96,25.48,0,0,5.88,0,3.92,3.92,1.96,0,9.8,0,0,5.88,0,0
