stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.43,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.05,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,84,1,1,0,0,1,0,0,1,4,0,0,0,0,0,0,0,0,51,0,4,0,0,0,0,6,0,0,1,0,0
 24-34,0,0,0.82,33.66,0,4.1,0,0,0,0.82,1.64,4.93,4.1,0,5.75,0,0,3.28,0.82,0,1.64,57.46,0,0.82,0.82,0,0,6.57,5.75,0,0,0.82,0,0.82
 36-46,0,0,0,9.67,1.61,2.42,0.81,2.42,1.61,0,0.81,1.61,0.81,0,4.03,0,0,8.86,1.61,0,0.81,41.89,0.81,0.81,0,0,0,16.11,6.45,0,0,0.81,0,0
 48-58,0,0,0.57,6.89,0.57,6.31,0,1.15,0,0,0,2.3,1.15,0,2.3,0,0,4.02,0.57,0,0,43.04,0,0.57,2.3,0,0.57,8.61,3.44,0,0,0.57,0,0
 60-70,0.98,0,0,7.85,2.94,3.93,0.98,2.94,0.98,0,0,6.87,0.98,1.96,1.96,0,0,7.85,0,0.98,0,33.37,0,0.98,0,0,0,11.78,3.93,0.98,0,0.98,0,0
 72-82,0,0,0,25.52,2.94,3.93,0,1.96,0.98,0,0,8.83,0.98,7.85,2.94,1.96,0.98,7.85,5.89,0.98,0,35.34,0,1.96,1.96,0,0,14.72,0.98,7.85,0,0,0,0.98
 84-94,0,0,0,37.17,4.25,10.62,0,0,2.12,0,1.06,8.5,3.19,3.19,4.25,1.06,0,9.56,1.06,1.06,0,19.12,0,0,0,0,0,29.74,1.06,8.5,1.06,2.12,0,0
 96-106,0,0,0,55.74,2.19,9.84,2.19,0,4.37,0,0,9.84,5.46,4.37,3.28,0,0,7.65,2.19,1.09,0,22.95,0,0,2.19,0,0,30.6,1.09,12.02,1.09,2.19,0,0
108-118,0,0,0,45.19,0.77,13.02,0,3.06,0.77,0,0,10.72,7.66,2.3,0,0.77,0,5.36,3.83,0.77,0,16.09,0,0.77,0,0,0,20.68,0.77,10.72,0,0.77,0.77,0
120,0,0,0,31.36,0,3.92,0,0,0,0,0,17.64,1.96,0,0,0,0,0,0,1.96,0,17.64,0,0,0,0,0,17.64,0,1.96,0,0,0,0
