stage,blastomeres,epidermis,eye,fast_muscle,fin_mesenchyme,glial,gut,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,paraxial_mesoderm,periderm,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,1.64,0,0.82,1.64,0.82,0,0.82,0,0.82,0,0,0
 36-46,0,0,0,0.81,0,0,0,0.81,4.03,0.81,0,1.61,0,0,0.81,0,0,0,0,0.81
 48-58,0,0,0.57,0,0.57,0,0,0.57,1.15,0,0.57,2.87,0,0,0,0,0,0,0,0.57
 60-70,0,0,0.98,0,0,0.98,0,0.98,0.98,0,0,0,0.98,0,0,0,0,0,0,0
 72-82,0,0,3.93,0,0,1.96,0,0,1.96,0,0,4.91,0,0,0,0,0,0,0.98,1.96
 84-94,0,1.06,0,0,0,0,0,2.12,1.06,0,0,4.25,0,0,0,0,0,0,0,3.19
 96-106,0,0,1.09,0,0,2.19,1.09,0,4.37,0,0,1.09,0,0,0,0,0,0,0,0
108-118,0,0,1.53,0.77,0,0.77,0,1.53,3.06,0,0,1.53,1.53,0,0,0,0,0,0,0
120,0,0,9.8,0,0,0,1.96,0,3.92,0,0,7.84,1.96,0,0,0,1.96,1.96,0,0
