stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,mesenchyme,mucous,neural,olfactory,paraxial_mesoderm,periderm,spinal_cord,taste,vasculature,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0
  5-6,6.13,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,2.46,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0,3.22,0.81,0,0,0
 48-58,0,0,0,0,0.57,0,0,0.57,0,0,0,0,0,0,0,0,0.57,1.15,0,2.3,0,0,0,0.57
 60-70,0,0,0,0.98,0,0,0,4.91,0,0.98,0,0,0,0,0.98,0,0,0,0,13.74,0,0,0,0
 72-82,0,0,0,3.93,0,0,1.96,3.93,0.98,0.98,0.98,0,0,0,0,0,1.96,0,0,46.14,0,0,0,0
 84-94,0,0,0,15.93,0,0,0,21.24,0,2.12,3.19,0,0,2.12,0,0,0,1.06,0,67.97,0,0,1.06,0
 96-106,0,0,0,41.53,0,0,1.09,40.44,0,2.19,2.19,1.09,1.09,7.65,2.19,1.09,8.74,0,0,128.96,0,1.09,0,0
108-118,0,0,0,58.98,0,1.53,1.53,65.11,0,0.77,8.43,0,0,9.96,0.77,0.77,5.36,0,0,107.23,0,0,0,0.77
120,0,0,0,35.28,0,0,3.92,58.79,0,3.92,1.96,0,0,5.88,0,0,1.96,0,0,96.03,0,0,0,0
