stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,1,0,0,0,0,0,14,0,0,0,0,0
 24-34,0,0,0,2.46,0.82,1.64,0,0,0,4.1,0,0,0,0,0,1.64,0,0,196.18,0,2.46,0.82,0,0,0,0,0,49.25,0,0,0,0,0
 36-46,0,0,0,0,0,8.06,0,0,0,7.25,0,0,0,0,0,1.61,0,0.81,537.38,0.81,1.61,0.81,0,0,0.81,0,0.81,82.98,0,0,0,0,0
 48-58,0,0,0,1.72,1.15,43.61,0.57,0,0,16.64,0,0.57,0,0,0,12.62,0,1.15,791.28,0,3.44,1.15,0,0,0.57,0,0.57,105.01,0,0,0.57,0,1.72
 60-70,0,0,0,0.98,0,108.95,0,0.98,0,14.72,0,0,0,0.98,0,6.87,0,0,1132.68,0,1.96,0,0,0,0.98,0,1.96,100.12,0,0,0.98,0,1.96
 72-82,0,0.98,0,2.94,1.96,183.57,0,0,0.98,53.01,1.96,0.98,0.98,0,0,20.61,0,1.96,1332.12,0.98,3.93,1.96,0,1.96,3.93,1.96,0.98,85.4,0,1.96,2.94,0,0.98
 84-94,0,2.12,0,5.31,1.06,112.58,1.06,0,0,33.99,1.06,0,4.25,1.06,1.06,18.05,3.19,4.25,663.77,0,3.19,1.06,0,0,4.25,0,1.06,61.6,3.19,2.12,2.12,1.06,1.06
 96-106,0,2.19,0,10.93,4.37,104.91,0,0,0,39.34,2.19,1.09,0,0,0,18.58,0,0,579.21,0,9.84,3.28,0,0,3.28,0,0,24.04,1.09,0,2.19,0,0
108-118,0,0,0.77,6.13,0.77,70.47,0,0,0.77,32.94,2.3,0.77,0.77,0,0.77,13.02,0,0,662.56,0.77,3.06,0.77,0,0,3.83,0,0.77,19.15,2.3,0,1.53,0.77,3.83
120,0,0,0,7.84,1.96,76.43,0,0,0,41.16,1.96,0,1.96,0,1.96,9.8,0,1.96,928.94,3.92,1.96,0,0,0,5.88,0,1.96,33.32,0,1.96,0,0,0
