stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,otic,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,9.44,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,16,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,2.46,0,0,0,0,0,0,0,0.82,0,1.64,3.28,4.1,0.82,0,0,0,0,1.64,0.82,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,24.17,0.81,0,0,0,0,0,0,6.45,0,12.89,4.83,0.81,0,0,0,0,0.81,0,0.81,0,0,0,0,0
 48-58,0,0,0,0,1.72,1.15,1.15,51.64,0.57,0,0.57,0,0,0,0,20.08,0,17.21,6.89,0,0.57,0,0,0,1.15,0,1.15,0,0,0,0,0
 60-70,0,0,0,0,8.83,1.96,3.93,65.76,0.98,0,0,0,0,0,0,22.58,0.98,22.58,13.74,0,0.98,0,0,0,0.98,0,0,0,0,0,0,0.98
 72-82,0,0,0,0,14.72,2.94,0,112.89,4.91,0,0,0,0,0.98,0,51.05,0,25.52,22.58,0,0,0,0.98,0,2.94,0,0.98,0,0.98,0,0,0
 84-94,0,2.12,0,0,14.87,3.19,1.06,100.89,1.06,0,0,3.19,1.06,0,0,36.11,0,16.99,15.93,0,0,0,0,1.06,3.19,0,0,1.06,0,0,1.06,0
 96-106,1.09,4.37,2.19,0,19.67,1.09,4.37,100.54,2.19,1.09,0,0,1.09,1.09,1.09,56.83,1.09,13.11,18.58,0,3.28,1.09,0,0,5.46,0,0,0,1.09,0,1.09,0
108-118,0,2.3,2.3,0.77,9.96,3.06,1.53,111.06,1.53,0.77,0,2.3,0,0,0,47.49,0,14.55,20.68,0,0.77,0.77,0.77,0,0.77,0,0,0,0,1.53,0,0
120,0,0,0,0,5.88,1.96,0,107.79,1.96,0,0,0,0,0,0,52.91,0,11.76,11.76,0,0,0,1.96,0,0,0,0,0,0,0,1.96,0
