stage,blastomeres,endocrine_pancreas,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,10.51,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,30,15,0,0,15,0,0,0,0,0,3,2,0,0,0,98,0,0,1,0,0,0,49,0,0,0,0,2
 24-34,0,0,44.33,18.88,0.82,0,9.03,0,0,0,0,0.82,0.82,3.28,0,0,0.82,232.3,4.93,0,4.93,0,0,0.82,112.46,0,0,0.82,0,2.46
 36-46,0,0,16.92,16.92,4.83,0,12.09,0,0,0,0,0,0,9.67,0,0,0,182.08,1.61,0,2.42,0,0,0,135.35,0,0,1.61,0,5.64
 48-58,0,0,10.9,19.51,1.72,1.15,24.1,0,0,0,0,0,0.57,10.33,0,0,0.57,89.51,0.57,0,2.3,0,0,0,90.66,0,0,0.57,0,1.15
 60-70,0,0,17.67,20.61,2.94,0.98,22.58,0,0,0,0,0,0,31.41,0,0,0.98,84.41,0,0,0.98,0,0.98,0,37.3,0,0,0,0,0
 72-82,0,0,16.69,5.89,2.94,0.98,41.23,0.98,0,0.98,0.98,0.98,0,39.27,0.98,0,2.94,64.79,0,0.98,0,0,0.98,0.98,12.76,0,0.98,0.98,1.96,0
 84-94,0,0,41.42,22.3,4.25,1.06,20.18,1.06,0,0,0,0,0,22.3,2.12,0,3.19,38.23,0,0,1.06,0,0,0,13.81,0,0,0,1.06,2.12
 96-106,0,1.09,26.23,13.11,5.46,0,26.23,1.09,0,0,0,0,0,34.97,0,2.19,3.28,45.9,0,1.09,1.09,0,1.09,2.19,3.28,0,1.09,0,1.09,0
108-118,0,0,29.11,7.66,11.49,1.53,13.02,0.77,0.77,1.53,0.77,0,0,17.62,0,0,0,45.96,0,0,3.06,0,0.77,0,6.13,0.77,0,0,0,1.53
120,0,0,21.56,7.84,5.88,1.96,13.72,0,1.96,0,0,0,0,15.68,1.96,0,0,35.28,0,0,3.92,0,0,0,5.88,0,0,0,0,0
