stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,immune,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,taste,vascular.smooth.muscle,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 14-21,0,1,2,2,0,0,1,0,0,0,5,0,0,0,1,0,0,0
 24-34,0,0,0,0,0.82,0,0.82,0,0,0.82,0.82,0,0,0.82,0,0,0,0
 36-46,0,0,0,0,0,0.81,1.61,0,0,0.81,0,0,0,2.42,0,0,0,0
 48-58,0,1.15,0,0,0,0.57,1.15,0.57,0.57,0,0,0,0,1.15,0,0,0,0
 60-70,0,0,0,0,0,0,0.98,0,0,0,0,0,0,1.96,0,0,0,0
 72-82,0,0,0.98,0,0,0,3.93,0,0,1.96,0,0,0,0.98,0,0,0,0.98
 84-94,0,0,0,0,0,6.37,3.19,0,0,0,0,0,0,3.19,0,1.06,0,0
 96-106,0,0,0,0,0,5.46,3.28,0,0,0,0,1.09,1.09,5.46,0,0,1.09,0
108-118,0,0.77,0,0,0,9.96,3.06,0,0,0.77,0,0,0,5.36,0,0,0,0
120,0,0,1.96,0,0,5.88,1.96,0,0,0,0,0,0,5.88,0,1.96,0,0
