stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,355.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,19,2,4,0,0,0,7,0,2,0,0,2,0,0,0,2,9,0,5,192,2,4,4,5,0,2,1,13,1,1,9,144,0,0,6,0,0
 24-34,0,0,0.82,0,6.57,0,19.7,0,0.82,0.82,9.85,4.1,0.82,0,0,1.64,0,0.82,2.46,22.98,20.52,0,16.42,306.18,2.46,4.93,0.82,0,0,9.85,0,0,0,1.64,5.75,137.9,0,0,21.34,0,5.75
 36-46,0,0,0,0,3.22,0,12.09,0,0,3.22,4.83,0,0.81,0.81,0,0.81,0,0.81,0,25.78,14.5,0,7.25,143.41,1.61,2.42,0.81,0,0,10.47,0,0,1.61,0.81,0,64.45,0,0,7.25,0,2.42
 48-58,0,0,0,0,0.57,0.57,19.51,0,0,1.72,5.16,0,0,0.57,0,0,0,0,0,1.72,9.75,0,2.3,63.69,0,1.15,0.57,0,0,1.72,0,0,0,0,0,24.67,0,0.57,2.3,0,1.15
 60-70,0,0,0,0,2.94,0,13.74,0.98,0.98,2.94,0,0,0,0,0.98,0,0,0,0,0,7.85,0,0.98,26.5,0,0,0,0,1.96,0.98,0,0,0,0,0,16.69,0,0,2.94,0,1.96
 72-82,0,0,0,0,0.98,0,9.82,0,0,1.96,4.91,0,0,0,0.98,0,0,0,0,0,7.85,1.96,1.96,28.47,0,0,0.98,0,0,0,0,0,0,0,0,4.91,0.98,0,2.94,0,0
 84-94,0,0,0,0,1.06,0,7.43,0,0,1.06,4.25,0,0,0,0,1.06,0,0,0,0,5.31,0,2.12,14.87,0,0,0,0,1.06,1.06,0,0,0,0,0,7.43,0,1.06,8.5,0,0
 96-106,0,0,0,0,0,1.09,3.28,0,0,1.09,3.28,0,0,0,0,0,0,0,0,0,2.19,0,0,14.21,0,1.09,0,0,1.09,0,0,0,0,0,0,5.46,0,0,1.09,0,0
108-118,0,0,0,0,1.53,0,2.3,0,0,0.77,5.36,0,0,0,0.77,0,2.3,0,0,0.77,4.6,1.53,0,16.85,0,0.77,0,0,1.53,0.77,0,0,0,0,0,5.36,1.53,0,2.3,0,0.77
120,0,0,0,0,0,1.96,3.92,0,0,0,3.92,0,0,0,0,0,1.96,0,0,0,5.88,0,0,19.6,0,1.96,0,0,0,0,0,0,0,0,0,5.88,0,0,0,1.96,1.96
