stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,0,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,269.7,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,12.26,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,7.89,0,2.63,0,0,5.26,0,0,0,0,10.51,0,0,0,0,0,0,0,84.12,7.89,0,0,23.66,0,0,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,0,6.29,0,0,0,0,3.15,0,0,0,0,0,0,0,88.12,3.15,0,0,31.47,0,3.15,0,0,3.15,0,0,0
 14-21,0,0,0,7,1,2,0,0,2,0,0,0,0,0,0,1,0,0,14,0,0,0,0,1,0,3,1,4,8,0,0
 24-34,0,0,0,0.82,0.82,6.57,0,0,0,0,0,0,0,0,0,4.93,0,1.64,34.48,0,0,0.82,0,4.1,0,0,1.64,2.46,4.1,0,1.64
 36-46,0,0,0,0,0,3.22,0,0,3.22,0,0,0,0,0,0.81,5.64,0,0.81,13.7,0,0,0,0,0,0,0,0,0,4.83,0,0
 48-58,0,0,0,0.57,0,5.74,0,0,3.44,0,0,0,0.57,0,0,6.31,0,1.15,10.33,0,0,1.72,0,0,0,0,0,0,1.72,0,0
 60-70,0,0,0,0.98,0,5.89,0,0,2.94,0,0,0.98,0,0,0,5.89,0,0.98,4.91,0,0,0,0,0.98,0,0,0,0,0.98,0,0
 72-82,0,0,0,0.98,0,1.96,0,0.98,0.98,0.98,0,0,0,0,0,4.91,0.98,0,10.8,0,1.96,0,0,0.98,0,0,0,0,0,0,0.98
 84-94,0,0,0,2.12,0,4.25,1.06,0,1.06,0,0,0,0,0,0,6.37,0,0,3.19,0,0,0,0,2.12,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.09,0,0,0,0,0,0,0,1.09,0,4.37,0,3.28,4.37,0,0,0,0,1.09,0,0,0,0,0,0,2.19
108-118,0,0,0,1.53,0,0.77,0,0.77,0.77,0.77,0,0,0,0,0.77,3.83,0.77,0.77,3.06,0,0,0.77,0,0.77,0,0,0,0,0,0,0.77
120,0,0,0,3.92,0,0,0,0,0,0,0,0,0,0,0,5.88,0,0,5.88,3.92,0,1.96,0,1.96,0,0,0,0,0,1.96,1.96
