stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,1,1,0,0,0,0,0
 24-34,0.82,0.82,11.49,0.82,0,130.52,0,3.28,0,3.28,0.82,0,0,2.46,0,1.64,0.82,0,17.24,0,0,5.75,206.86,1.64,2.46,0.82,13.95,1.64,0.82,3.28,25.45,0,0,7.39,0,0
 36-46,0,0,3.22,0.81,0,162.75,0.81,0.81,1.61,12.09,0,0.81,0.81,0,0.81,0,0.81,1.61,20.95,0,0,6.45,241.7,1.61,3.22,1.61,12.89,0,0,0,46.73,0,0,6.45,0,4.83
 48-58,0,0,2.87,0.57,0,185.91,0,1.72,1.15,12.05,0,1.72,0.57,0,0,0,0.57,2.3,22.95,0,0,4.02,144.6,2.87,0,0.57,5.74,0,0,0,33.85,0,0,1.72,0,3.44
 60-70,0,0,3.93,0.98,0,168.82,0,0.98,0.98,9.82,0,0,0,0,0,0,0,0.98,22.58,0,0,2.94,96.19,0,0.98,0.98,5.89,0,0,0,16.69,0,0,1.96,0,0.98
 72-82,0.98,0,4.91,7.85,0,153.14,0,0.98,3.93,11.78,0,1.96,0,0,0.98,1.96,0.98,0,30.43,0.98,0,6.87,71.66,0,0.98,1.96,1.96,0,0,0,4.91,0,2.94,8.83,0.98,0.98
 84-94,0,0,3.19,3.19,0,151.87,0,0,0,7.43,1.06,0,3.19,0,0,0,1.06,0,10.62,2.12,2.12,3.19,37.17,1.06,0,1.06,8.5,0,0,0,8.5,0,1.06,10.62,2.12,0
 96-106,1.09,0,5.46,5.46,2.19,96.17,0,0,0,6.56,2.19,0,2.19,0,0,0,0,1.09,14.21,0,0,3.28,25.14,0,1.09,0,8.74,0,0,0,2.19,1.09,0,10.93,0,1.09
108-118,0,0,2.3,4.6,0,132.51,0,0,1.53,8.43,1.53,1.53,2.3,1.53,0,0,1.53,0,29.87,1.53,0.77,3.83,71.23,2.3,1.53,2.3,3.83,0,0,0,0,0.77,0.77,5.36,1.53,0
120,0,0,0,3.92,1.96,109.75,1.96,0,1.96,0,3.92,0,0,0,0,1.96,1.96,0,17.64,0,0,1.96,62.71,0,3.92,0,5.88,0,0,0,5.88,1.96,0,5.88,0,0
