stage,axial,blastomeres,epidermis,erythrocytes,glial,hatching.gland,immune,liver,mesenchyme,neural,notochord,otic,vasculature,xanthophores
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,0,0,0,0,2.63,0,0,0,5.26,2.63,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0
 60-70,0,0,0,0,0.98,0,0.98,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,1.96,0,0,0.98,0,0,0,0
 84-94,0,0,0,0,0,0,2.12,1.06,0,0,0,0,2.12,0
 96-106,0,0,2.19,0,0,0,2.19,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,3.06,0.77,0.77,0,0,0.77,0.77,0.77
120,0,0,0,0,0,0,7.84,0,0,1.96,0,0,1.96,0
