stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
 14-21,0,5,0,0,5,0,0,0,2,2,0,0,0,0,0,0,0,3,0,1,43,0,0,0,1,1,1,1,5,19,0,0,0,0
 24-34,2.46,1.64,0,0,6.57,0,0.82,0,1.64,1.64,0,0,0,0,0,0,0,8.21,0,4.93,87.83,0,0.82,2.46,0,0,0,0,0.82,22.16,0,0,0.82,0.82
 36-46,0,0,0,0,11.28,0.81,0,0,1.61,0,0,0,0,0.81,0,0,0,4.83,0,0.81,70.09,1.61,1.61,0,0,0.81,0,0,0,18.53,0,0,0,0.81
 48-58,0,1.72,0,0,20.66,0,0,0.57,6.89,0,1.15,0,0,0,0,0,0.57,5.16,0.57,1.15,72.3,0,0,0.57,0,0,0,0,0,16.64,0,0,0.57,0
 60-70,0,0.98,0,0,38.28,0,0.98,0,6.87,0,0,0,0.98,0,0.98,0,0,1.96,0,0.98,81.47,0,0.98,0,0,0,0,0.98,0,8.83,0,0.98,0.98,0
 72-82,0,0.98,0.98,0,45.16,0,0,0,7.85,0,0,0.98,0,0,0,0,0,11.78,0,0.98,86.39,0,0.98,0.98,0,0,0,0,0,4.91,0,0,0.98,0
 84-94,0,0,0,0,20.18,0,1.06,0,3.19,1.06,0,0,1.06,0,0,0,0,5.31,0,0,37.17,0,0,0,0,3.19,0,0,0,3.19,1.06,0,2.12,0
 96-106,0,1.09,0,2.19,13.11,0,0,0,2.19,0,0,1.09,0,0,0,0,0,10.93,1.09,3.28,19.67,0,2.19,1.09,0,0,0,0,0,1.09,0,0,1.09,0
108-118,0,0.77,0,0,4.6,0,0,0.77,6.13,0,0,0.77,0,0,0,0,0,3.83,0.77,0,39.06,0,0.77,2.3,0,0.77,0,0,0,0.77,0.77,0,0,0.77
120,0,1.96,0,0,17.64,1.96,0,0,1.96,0,0,5.88,0,0,0,1.96,0,3.92,0,1.96,50.95,0,0,1.96,0,0,0,0,0,1.96,0,0,0,0
