stage,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,27,1,1,0,0,0,0,0,0,0,0,0,0,15,0,0,18,6,9,0,0,0,2,2,1,0,5,7,0,0,0,0,0
 24-34,73.06,0,6.57,3.28,0.82,0.82,0.82,0.82,0,0,0,0.82,0,73.06,0.82,0.82,33.66,10.67,38.58,0,0,0.82,0.82,0,0,0.82,0.82,5.75,0,0,0.82,0,0.82
 36-46,44.31,0.81,4.03,4.03,2.42,2.42,0,1.61,0,0,0,0,0,140.99,0.81,1.61,48.34,8.86,41.89,0,3.22,0,1.61,0,0,0.81,0,8.86,0,0,1.61,0,0
 48-58,18.94,0,4.59,5.16,4.59,2.87,0.57,0,0,0,0,0,0,96.97,0,4.59,22.95,8.03,26.4,0,1.72,0,1.15,0,0,0,0,7.46,0,1.72,0,0,0
 60-70,29.45,0,7.85,6.87,4.91,3.93,0,7.85,0,0,0,0,0.98,160.97,0.98,10.8,16.69,10.8,16.69,0.98,2.94,0,0.98,0,0,0,0,4.91,0,3.93,0,0.98,0
 72-82,18.65,0,5.89,3.93,3.93,1.96,0,1.96,0,0,0.98,0,0,126.63,0,1.96,13.74,10.8,9.82,0,4.91,1.96,0.98,0,0,0,0,0.98,0,4.91,0,2.94,0
 84-94,38.23,0,8.5,10.62,5.31,5.31,0,3.19,0,0,0,1.06,1.06,113.64,1.06,2.12,16.99,5.31,19.12,0,5.31,1.06,0,0,0,0,0,2.12,0,4.25,0,3.19,0
 96-106,20.76,0,8.74,6.56,1.09,2.19,1.09,4.37,1.09,0,0,0,0,115.84,0,5.46,8.74,9.84,12.02,3.28,1.09,2.19,4.37,0,2.19,0,0,1.09,0,6.56,0,4.37,0
108-118,39.06,0,9.96,19.15,3.06,0.77,0,2.3,1.53,0.77,0,0,0.77,96.51,0.77,4.6,12.26,7.66,12.26,0,4.6,0,0.77,0,0,0,0,1.53,0.77,2.3,0,2.3,0.77
120,33.32,0,1.96,13.72,3.92,3.92,0,0,1.96,0,0,0,0,64.67,0,0,7.84,9.8,17.64,0,5.88,1.96,0,0,0,0,0,0,0,5.88,0,1.96,0
