stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,taste,vasculature,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,1,0,1,32,6,0,0,0,0,0,0,4,0,0,0,0,1,0,0,1,2,0,0,1,0,0,0,3,0,0,0
 24-34,0,0,0.82,32.83,1.64,0.82,0,0.82,0,0,0,11.49,0,0,0,4.93,0,0,0,0,9.85,0,0,0,0,0,4.1,0,0,0,0
 36-46,0,0,0,1.61,0.81,0,0,0.81,0,0,0.81,5.64,0,0,0,6.45,0.81,0,0,0,4.03,0,0,0,0,0,0,0.81,0,0,0
 48-58,0,0,0,0.57,0,0,0,0.57,0,0,0,0.57,0,0,0,5.16,1.72,0,0,0,3.44,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0.98,0,0,0,0,1.96,0,0,0,2.94,0,0,0,3.93,12.76,0,0,0,3.93,0,0,0,0,0,0.98,0,0,0,0
 72-82,0,0,7.85,0,1.96,0.98,0,4.91,0,0,0.98,45.16,0,0,0,5.89,37.3,0,0,0,10.8,0.98,0,0,0,0.98,0.98,0.98,0,1.96,0
 84-94,0,0,2.12,1.06,0,1.06,0,3.19,0,0,2.12,79.65,0,0,0,6.37,24.43,0,0,0,6.37,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,5.46,1.09,5.46,1.09,1.09,5.46,1.09,1.09,2.19,279.77,0,1.09,0,10.93,60.11,0,0,0,30.6,0,1.09,0,0,0,1.09,0,0,1.09,1.09
108-118,0,0,3.83,3.06,3.06,0,1.53,3.06,0,0,1.53,429.71,0,0.77,0.77,7.66,49.02,0.77,0.77,0.77,23.74,0,0,0,0.77,5.36,2.3,0,0.77,2.3,0
120,1.96,0,1.96,1.96,5.88,0,0,0,0,1.96,1.96,307.69,0,0,0,15.68,35.28,0,0,1.96,35.28,0,0,0,0,0,3.92,0,0,0,0
