stage,axial,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0
 24-34,0,0,6.57,0.82,0,4.93,0,0.82,0,0,0,4.1,0,0,0,0,0,0,22.98,0,0,24.63,45.15,19.7,0.82,0.82,0,4.1,0,0.82,24.63,0,0,0,0,0.82
 36-46,0,0,1.61,0,0,8.86,0.81,0,0.81,2.42,0,9.67,0,0,0,0,0,0,39.48,0,2.42,21.75,38.67,13.7,0.81,0,0,4.03,0,1.61,14.5,0,1.61,1.61,0.81,0.81
 48-58,1.15,0,0,0.57,0,18.94,0,0,0,1.72,0,5.16,0,0,0,0,0,0.57,79.19,0,6.31,21.8,26.4,10.33,0,0,0,0.57,0,0.57,12.62,0,4.59,1.15,0.57,0.57
 60-70,0,0,1.96,0.98,0,19.63,0,0,1.96,5.89,0,0.98,0,0,0,0,0,0,109.93,0,58.89,15.7,25.52,5.89,0,0,4.91,2.94,0,0,2.94,0,47.11,1.96,29.45,0
 72-82,0,0,10.8,4.91,0.98,75.59,0.98,0,2.94,14.72,0.98,3.93,0.98,0,0,0.98,1.96,0.98,140.38,1.96,78.53,14.72,96.2,0.98,0.98,3.93,11.78,6.87,0,0.98,7.85,0.98,101.11,8.83,104.06,0.98
 84-94,0,1.06,13.81,6.37,0,69.03,2.12,1.06,2.12,14.87,3.19,0,3.19,1.06,0,1.06,1.06,1.06,111.51,0,97.71,11.68,59.47,2.12,0,1.06,7.43,7.43,0,0,7.43,1.06,105.14,5.31,124.26,0
 96-106,0,1.09,16.39,15.3,2.19,73.22,1.09,3.28,1.09,12.02,3.28,6.56,3.28,1.09,6.56,4.37,8.74,1.09,158.46,1.09,65.57,20.76,74.31,1.09,3.28,2.19,26.23,25.14,0,0,1.09,1.09,115.84,8.74,154.09,2.19
108-118,0,0.77,10.72,8.43,0.77,65.87,0.77,4.6,6.13,20.68,1.53,2.3,5.36,3.06,0,0.77,3.83,1.53,129.45,0,65.11,15.32,117.19,3.06,3.06,4.6,32.94,13.02,1.53,1.53,2.3,0.77,91.15,3.83,108.77,0.77
120,0,0,15.68,15.68,0,45.08,1.96,3.92,1.96,15.68,7.84,0,3.92,0,0,1.96,0,0,125.43,0,86.23,13.72,97.99,3.92,0,1.96,41.16,3.92,0,1.96,5.88,0,92.11,5.88,178.34,3.92
