stage,epidermis,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,lateral_line,mesenchyme,muscle,neural,somites,spinal_cord,vascular_smooth_muscle,vasculature
 14-21,0,0,0,0,0,0,0,0,3,1,9,0,0,0
 24-34,0,0,0,0,0.82,0,0,0.82,6.57,1.64,0.82,0.82,0,0
 36-46,0,0,0,0,0,0,0,5.64,2.42,0.81,0,0,0,0
 48-58,0,0,0,0,1.72,0,0,5.16,4.59,1.72,0,0.57,0,0
 60-70,0,0,0.98,0,0,0.98,0.98,7.85,2.94,0.98,0,0.98,0,0
 72-82,0,0,0,0.98,1.96,0.98,0,28.47,7.85,0.98,0,0,0,0
 84-94,1.06,0,2.12,0,0,2.12,0,12.74,5.31,1.06,0,0,1.06,0
 96-106,0,0,1.09,0,1.09,0,0,7.65,3.28,0,0,0,0,0
108-118,0,0.77,1.53,1.53,0,0.77,0,17.62,2.3,1.53,0,0,0,0.77
120,0,0,1.96,0,0,0,0,7.84,1.96,5.88,0,0,0,0
