stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,5.26,0,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,10,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,1,0,0,0,0,0,0,3,3,0,0,0,0
 24-34,0,10.67,0,0,0,0.82,0,0,0,1.64,0,0,4.1,0,0.82,0,0,0,10.67,0,0,0,0,0,1.64,0,0,3.28,0,0,0,0
 36-46,0,9.67,0,0,0,0,0,0.81,0,0,0,0.81,1.61,0,0,0,0,0,12.89,0,0,0,0,0,1.61,0.81,0,3.22,0,0,0,0
 48-58,0,9.18,0,0,5.74,1.15,0,1.72,0.57,0,0,0,1.15,0,2.87,0.57,0,0,11.48,0,0,0,0,0,0,0,0,2.3,0,0,0,0
 60-70,0,12.76,0,0,0.98,2.94,0,0,0.98,0,0,0,0,0,2.94,1.96,0,0,10.8,0,0,0.98,0,0,0.98,0,0,0.98,0,0,0,0
 72-82,0,14.72,0.98,0,1.96,1.96,0.98,0,1.96,0,0.98,0.98,0.98,0,15.71,0,0,0,10.8,0,0,1.96,0,0,0.98,0.98,0,0.98,0,0,0,0.98
 84-94,0,21.24,0,0,3.19,3.19,0,3.19,4.25,0,0,1.06,2.12,1.06,8.5,0,1.06,1.06,6.37,0,2.12,0,0,0,0,3.19,0,1.06,2.12,0,0,0
 96-106,0,29.51,0,0,2.19,5.46,0,0,12.02,0,1.09,2.19,1.09,0,4.37,0,0,1.09,8.74,1.09,1.09,0,0,1.09,1.09,0,0,0,1.09,0,0,0
108-118,0,47.49,0,0.77,1.53,8.43,0.77,0.77,4.6,0,0,0,0.77,0,2.3,0.77,0,0.77,2.3,0,0,1.53,0,0,0.77,0.77,0,0,0,0.77,0.77,0
120,0,84.27,0,0,1.96,15.68,0,0,9.8,0,1.96,0,1.96,0,3.92,0,0,0,9.8,0,0,0,0,0,0,0,0,0,0,0,0,0
