stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,13.14,31.54,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,304.93,0,0,0,73.6,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,15.73,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,66.09,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,8,1,0,0,0,0,0,0,0,0,0,0,0,0,2,7,1,0,1,0,3,0,0,80,2,4,0,0,2,0,0
 24-34,0,0,0,0.82,1.64,0,0.82,0,0,0,0,0,0,0,3.28,0,0,0,6.57,42.68,4.1,0.82,0,0,1.64,0,0,45.97,4.93,4.93,0,0,2.46,0,0
 36-46,0,0,0,0,0,0,1.61,0.81,0,0,0,0,0,1.61,4.03,0,0,0,10.47,91.04,1.61,4.03,0,0,0,0,0,45.92,1.61,2.42,0,0,4.83,0,0
 48-58,0.57,0,0,1.72,0,1.15,1.15,2.3,0.57,0,0.57,0,0,2.3,10.33,0,0,0,7.46,51.64,2.87,11.48,0,0,0.57,0,0,22.38,0,1.72,0,0.57,11.48,0,0.57
 60-70,0,0,0,4.91,0,1.96,0.98,5.89,0,0,0,0,0,3.93,14.72,0.98,0,0,4.91,44.17,0,6.87,0,0,1.96,0,0,5.89,0,0.98,0,0,10.8,0,0
 72-82,0,0,0,12.76,0,1.96,1.96,7.85,1.96,0,0,0,0,0,35.34,0,0.98,0.98,5.89,38.28,6.87,6.87,0,0,1.96,0,0,1.96,0,1.96,0,0,10.8,0,0
 84-94,0,0,0,24.43,0,2.12,3.19,11.68,0,1.06,1.06,1.06,0,1.06,49.92,0,1.06,0,2.12,42.48,2.12,15.93,0,1.06,7.43,0,1.06,6.37,0,2.12,1.06,1.06,12.74,0,0
 96-106,0,0,0,50.27,0,2.19,5.46,16.39,1.09,0,0,0,0,2.19,28.41,1.09,3.28,0,7.65,65.57,7.65,16.39,0,0,3.28,0,0,5.46,0,1.09,1.09,0,12.02,0,0
108-118,0,0,0,45.96,0,2.3,3.06,18.38,2.3,1.53,0,0,0.77,0,24.51,0.77,3.06,4.6,5.36,87.32,2.3,4.6,0,0.77,3.06,0,0,3.83,0,0.77,1.53,1.53,13.79,0,0.77
120,0,0,0,21.56,0,5.88,0,7.84,0,0,0,0,0,0,11.76,1.96,3.92,0,0,72.51,7.84,3.92,0,0,1.96,0,0,1.96,0,0,3.92,0,7.84,1.96,0
