stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,2.63,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.89,13.14,0,0,39.43,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,12.59,0,6.29,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292.67,18.88,0,0,132.17,0,0,0,3.15,22.03,0,9.44,0,0,0,0,0,0
 14-21,0,0,1,0,8,12,5,0,0,0,5,0,0,0,3,0,0,0,4,19,0,0,23,173,7,0,2,3,0,0,0,9,0,3,32,125,0,0,8,0,1
 24-34,0,0,3.28,0,9.03,4.1,15.6,0,0,2.46,9.03,0,6.57,0,2.46,0.82,0,1.64,14.78,84.55,0.82,0.82,53.36,788.84,12.31,7.39,7.39,0,0,3.28,0,0,0,4.1,14.78,219.99,0,0,27.91,0,8.21
 36-46,0,0,0.81,0,2.42,0,92.65,2.42,0.81,6.45,19.34,0,2.42,0,0.81,2.42,0.81,0,10.47,113.6,0,1.61,46.73,1157.75,8.86,4.03,1.61,0,0,0.81,0,0,0.81,0.81,0,285.21,0,0,24.17,0,4.03
 48-58,0,0,0.57,0,3.44,0,263.95,3.44,0.57,5.16,60.25,0,4.02,0,1.15,2.87,0.57,0.57,8.03,112.47,0.57,2.3,26.4,1051.78,5.16,6.31,1.72,0.57,0.57,1.72,0,0,0,0.57,0,235.83,0,0.57,21.23,0,11.48
 60-70,0,0,1.96,0,2.94,0,672.34,1.96,2.94,7.85,90.3,0,4.91,0,0,6.87,0.98,0,7.85,164.9,0,3.93,19.63,1218.07,4.91,5.89,2.94,0,2.94,2.94,0,0,0,1.96,0,196.3,1.96,3.93,19.63,0,9.82
 72-82,0,0,4.91,0,6.87,0.98,630.23,2.94,0.98,10.8,159.03,3.93,9.82,0.98,0,9.82,0,0,2.94,246.4,0.98,5.89,27.49,992.46,4.91,9.82,1.96,0,1.96,0.98,0,0,0,0.98,0,82.46,1.96,8.83,56.94,9.82,7.85
 84-94,0,0,1.06,0,12.74,0,416.32,2.12,0,10.62,103.02,3.19,10.62,1.06,1.06,10.62,0,1.06,3.19,143.38,0,8.5,11.68,527.83,4.25,3.19,3.19,0,2.12,3.19,0,0,0,0,0,61.6,0,7.43,36.11,9.56,9.56
 96-106,0,0,1.09,0,9.84,1.09,238.24,4.37,2.19,7.65,79.78,8.74,7.65,4.37,2.19,4.37,1.09,1.09,4.37,131.14,2.19,4.37,15.3,408.72,2.19,6.56,2.19,0,2.19,4.37,0,0,0,1.09,0,24.04,2.19,1.09,34.97,3.28,7.65
108-118,0,0,1.53,0,10.72,2.3,183.83,5.36,0.77,9.19,75.83,3.83,2.3,3.83,0,8.43,0,3.06,2.3,113.36,0,5.36,13.02,435.07,1.53,3.06,3.83,0,3.83,1.53,0,0,0.77,0.77,0,16.09,3.06,0.77,26.81,3.83,4.6
120,0,0,0,0,23.52,3.92,180.3,5.88,1.96,1.96,80.35,0,1.96,1.96,1.96,0,1.96,0,1.96,88.19,0,11.76,11.76,401.76,3.92,1.96,7.84,0,5.88,0,0,0,0,0,0,21.56,0,1.96,17.64,1.96,3.92
