stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,immune,ionocyte,liver,mesenchyme,mucous,mural.cell,muscle,neural,otic,periderm,pgc,slow.muscle,spinal.cord,taste,vasculature
  7-9,2.63,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,2,0,1,0,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,37.76,0,0,0,0,0,0,5.75,0,15.6,0,0,0.82,0,0.82
 36-46,0,0,0,0,2.42,0,0,0,55.59,0,0,0,0.81,0,0,8.06,0,17.72,0,0,0,0,2.42
 48-58,0,0.57,0,0,4.02,0.57,0.57,0,41.31,0,0,0.57,0,0,0,1.72,0,10.9,0,0,0.57,0,1.15
 60-70,0,0,0,0,2.94,0,0,0,69.69,0,0,0.98,0,0,0,7.85,0,7.85,0,0,0,0,4.91
 72-82,0,0.98,1.96,1.96,1.96,0,0,0,101.11,0,0.98,1.96,0,0,0,4.91,0,14.72,0,0.98,0.98,0,5.89
 84-94,0,1.06,0,4.25,2.12,0,0,0,134.88,1.06,0,1.06,0,2.12,1.06,6.37,0,27.61,0,0,0,1.06,1.06
 96-106,0,0,1.09,1.09,3.28,0,0,0,184.69,0,1.09,3.28,0,0,0,5.46,0,25.14,0,0,0,0,8.74
108-118,0,0,3.06,3.83,0.77,0,2.3,1.53,175.41,0,0,3.06,0.77,0,0,4.6,0,14.55,0,0,0,0,6.89
120,0,0,3.92,0,1.96,0,1.96,0,223.42,0,0,0,0,0,1.96,9.8,1.96,19.6,0,0,0,0,11.76
