stage,axial,blastomeres,endoderm,eye,hatching.gland,neural,notochord,paraxial.mesoderm,pgc,somites
  3-4,0,408.52,0,0,0,0,0,0,0,0
  5-6,30.65,631.35,6.13,0,0,30.65,6.13,6.13,0,0
  7-9,5.26,7.89,26.29,55.2,7.89,336.48,7.89,81.49,2.63,0
 10-12,0,6.29,9.44,34.62,0,157.35,0,44.06,6.29,3.15
