stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,glial,gut,hatching.gland,heart,immune,liver,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,vasculature
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,28.32,0,0,3.15,0,0,3.15,0
 14-21,0,2,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,1,0,0
 24-34,0,0,0,0,0,0,0,0,0.82,0,1.64,0.82,0.82,4.1,0.82,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,4.03,0,0,2.42,0.81,0.81,0,0,0,0,0
 48-58,0,0,0,0,1.15,0.57,0,0,0,0,4.02,2.3,0,1.72,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,3.93,1.96,0,1.96,0,0.98,0,0,0,0,0
 72-82,0,0,0,0,1.96,1.96,0,0,0,0,51.05,4.91,0,3.93,0,0.98,0,0.98,0,0,0
 84-94,0,1.06,0,0,0,0,1.06,0,0,0,156.12,3.19,1.06,4.25,0,0,0,0,0,0,1.06
 96-106,0,1.09,1.09,1.09,4.37,2.19,2.19,0,2.19,1.09,373.75,3.28,2.19,39.34,0,0,0,1.09,0,0,0
108-118,0,1.53,0.77,5.36,6.89,1.53,3.06,0,0,0.77,519.32,3.06,0,20.68,0,0.77,0,0.77,0,1.53,1.53
120,0,0,1.96,0,1.96,3.92,0,0,0,1.96,284.17,3.92,0,9.8,0,1.96,0,0,0,0,0
