stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,9.44,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,4,0,0,0,0,0
 24-34,0,0.82,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,18.06,0.82,0,0,0,0.82,0,6.57,2.46,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0.81,19.34,2.42,0,0.81,0,0,0,11.28,0,0,0,0,0,0
 48-58,0,0,0,0,6.89,0,0,0,1.72,0,0.57,0,0,0.57,0,0.57,0,0,13.2,1.15,0.57,0.57,0,0,0,22.38,0,0,0,0,0,0.57
 60-70,0,0,1.96,0,39.26,0,0,0.98,0.98,0.98,0.98,0,0,0.98,0,7.85,0,0.98,47.11,1.96,0,0,0,0,0,21.59,4.91,0,0,0,0,0
 72-82,0,0.98,0.98,0,163.94,0.98,0,1.96,12.76,0.98,0,0,0,0,0,8.83,0,0,121.73,0.98,0,0.98,0,0,0,14.72,0.98,0.98,0.98,0,1.96,0
 84-94,0,0,5.31,2.12,122.13,5.31,1.06,1.06,7.43,1.06,0,0,2.12,1.06,1.06,5.31,1.06,1.06,82.84,4.25,2.12,3.19,0,1.06,0,36.11,3.19,0,0,1.06,1.06,0
 96-106,0,0,6.56,2.19,158.46,7.65,0,1.09,10.93,0,0,0,1.09,0,0,4.37,1.09,2.19,91.8,1.09,1.09,12.02,0,3.28,0,36.06,3.28,1.09,1.09,0,2.19,0
108-118,0,0,3.06,0.77,134.81,5.36,0.77,1.53,22.98,0,0,0.77,0.77,0,0.77,4.6,0,0.77,114.13,5.36,0,7.66,0,0.77,0.77,42.13,0,0.77,0,0,0.77,0.77
120,0,0,7.84,3.92,137.18,3.92,0,1.96,31.36,0,0,1.96,0,0,0,3.92,0,1.96,88.19,3.92,1.96,7.84,0,0,0,13.72,7.84,0,0,0,0,0
