stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.14,0,0,0
  5-6,0,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,79.69,0,0,0
  7-9,2.63,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,23.66,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,3.15,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,1,0,0,0,0,1,20,0,0
 24-34,0,0,1.64,0,1.64,2.46,0.82,0,0,0.82,0,0,0,0,0,0,0,3.28,0,3.28,16.42,0,1.64,0,0,0,7.39,46.79,0,0.82
 36-46,0,0,0.81,0,0,2.42,0.81,0,0.81,0,0,0.81,0,0,0,0,0.81,2.42,0,0,27.39,0.81,3.22,0,0,0,0.81,114.41,0,0.81
 48-58,0,0,0.57,0,1.72,10.33,0,0,8.61,0,0,0,0,0,0,0,1.15,4.59,0,0.57,33.28,0,2.3,0,0,0,0.57,98.12,0,1.15
 60-70,0,0,0.98,0,0,20.61,1.96,0.98,29.45,0,0,0,0,0,0.98,0,0,6.87,0,0.98,81.47,0,0.98,0,0,0,0,113.86,0.98,0.98
 72-82,0,0,1.96,0,1.96,34.36,0,0,28.47,1.96,0,0,0,0,0.98,0.98,0,9.82,0.98,0,68.72,0.98,1.96,0,0,0.98,0,68.72,0,3.93
 84-94,0,0,2.12,0,1.06,20.18,1.06,0,15.93,6.37,0,1.06,0,1.06,0,0,0,7.43,0,1.06,57.35,0,0,0,0,0,0,31.86,0,2.12
 96-106,0,0,2.19,0,2.19,19.67,0,0,14.21,7.65,1.09,0,0,3.28,0,0,0,13.11,1.09,0,54.64,0,1.09,0,0,0,0,15.3,0,2.19
108-118,0,0,0.77,0,2.3,23.74,0.77,0.77,14.55,2.3,0,1.53,0.77,0.77,0,0,0,8.43,0,0.77,55.92,0,0,0,0,0,0,15.32,0.77,3.06
120,0,0,0,0,5.88,11.76,0,0,15.68,1.96,0,1.96,0,1.96,0,0,0,0,0,0,60.75,0,1.96,3.92,0,0,0,43.12,0,5.88
