stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,glial,gut,immune,iridophores,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,68,1,0,0,0,0,0,0
 24-34,0,0.82,0,0,0,0,0,0,0,0,0,0,0,9.85,0,0,0,0.82,0,66.49,0,2.46,0,0,0,0,0.82
 36-46,0,0,0,0,0,0,0,0,0,0,2.42,0,0,5.64,0,0,0,0,0,37.06,0,3.22,0,0,0,0,0
 48-58,0,0,0,0,2.3,0.57,0.57,0,0,0,1.72,0,0,6.31,0.57,0,0,1.72,0,22.95,0,0.57,0,0,0,0,0
 60-70,0,0,0.98,0,1.96,0,2.94,0.98,0.98,0,3.93,0,0.98,12.76,0,0,0,0.98,0,26.5,0,0.98,0,0,0,0,0
 72-82,0,0,0.98,0,2.94,0.98,5.89,0,0,0,1.96,0,0,8.83,0,0,0,0,0,43.19,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,8.5,2.12,1.06,0,2.12,0,0,2.12,0,0,0,0,0,96.65,0,1.06,0,0,0,0,1.06
 96-106,0,1.09,0,2.19,3.28,1.09,14.21,0,0,0,3.28,1.09,0,8.74,0,1.09,0,0,0,107.1,0,0,1.09,0,0,0,1.09
108-118,0,0,0.77,2.3,0.77,2.3,38.3,0,0,0.77,2.3,0,0.77,6.13,0,0.77,0,1.53,0,97.28,0,0,0,0,0,0.77,0
120,0,1.96,0,0,1.96,0,70.55,3.92,0,3.92,1.96,0,0,11.76,0,0,0,0,0,72.51,0,0,0,1.96,3.92,0,0
