stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,303.09,4032.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237.2,0,0,0,0,0,0,0,0,0,0,0
  5-6,190.02,2739.95,0,6.13,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,116.46,24.52,0,0,24.52,0,55.17,0,0,0,0,0,0,0,0,0,0,0
  7-9,52.57,36.8,0,89.38,0,0,0,120.92,0,0,0,0,47.32,0,0,0,0,0,0,0,0,0,0,0,1193.44,52.57,0,0,486.31,0,13.14,31.54,0,0,0,0,0,0,0,0,0,0
 10-12,0,34.62,0,66.09,0,9.44,0,122.73,0,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0,3.15,972.41,56.65,0,0,320.99,0,9.44,12.59,0,37.76,0,3.15,3.15,0,0,0,0,0
 14-21,0,1,1,1,86,10,0,23,1,0,10,4,0,2,1,2,0,0,0,4,27,0,0,20,334,12,0,4,7,0,11,2,52,5,3,41,118,0,0,2,0,1
 24-34,0,0,0.82,0,18.88,6.57,0,41.04,1.64,1.64,17.24,2.46,0.82,0.82,2.46,4.93,0.82,0,0.82,12.31,27.09,1.64,0,13.95,379.24,2.46,5.75,1.64,0,0.82,16.42,0,0,3.28,0.82,8.21,99.32,0,0,12.31,0,2.46
 36-46,0,0,0,0,7.25,0.81,0,105.54,0,2.42,16.92,0,0,2.42,2.42,1.61,0,1.61,0.81,16.11,26.59,2.42,0,10.47,424.59,1.61,1.61,0,0,0,16.11,0,0,1.61,0,0,103.13,0,0,8.06,0,8.86
 48-58,0,0,0.57,0,4.59,1.15,0,145.75,1.72,1.15,31.56,0,0,1.15,3.44,0.57,0.57,1.15,0,9.75,30.41,1.15,0.57,5.74,250.75,1.15,2.87,1.72,0,0,6.89,0,0.57,0,0,0,75.74,0,0,5.16,0,2.87
 60-70,0,0,0.98,0,9.82,4.91,0,191.4,2.94,1.96,46.13,0.98,0,0.98,6.87,0.98,5.89,0,0,5.89,29.45,0,0.98,1.96,255.2,0,1.96,2.94,0,0,8.83,0,0,0.98,0,0,45.15,0,0.98,3.93,0,8.83
 72-82,0,0,0,0,11.78,23.56,0,143.32,0,2.94,53.01,10.8,0,0,5.89,2.94,1.96,0.98,3.93,4.91,51.05,1.96,0,5.89,208.11,0.98,4.91,3.93,0,0,4.91,0,0,0,0,0,19.63,0,0.98,15.71,0.98,4.91
 84-94,0,0,0,1.06,14.87,21.24,1.06,115.76,5.31,2.12,41.42,10.62,1.06,1.06,9.56,2.12,8.5,0,2.12,4.25,37.17,2.12,5.31,2.12,97.71,3.19,1.06,2.12,0,1.06,41.42,0,0,1.06,0,0,9.56,4.25,1.06,11.68,0,11.68
 96-106,0,0,0,0,19.67,27.32,0,75.41,3.28,2.19,36.06,10.93,0,3.28,10.93,1.09,4.37,4.37,1.09,4.37,26.23,0,2.19,2.19,90.71,1.09,1.09,4.37,0,0,29.51,0,0,1.09,1.09,0,7.65,2.19,2.19,12.02,3.28,3.28
108-118,0,0,1.53,1.53,17.62,14.55,0.77,70.47,3.06,2.3,28.34,8.43,0,0,14.55,1.53,7.66,4.6,0.77,3.83,18.38,0.77,0,3.06,112.6,0.77,0.77,3.83,0,0,22.98,0,0,0,0,0,3.83,0,0.77,4.6,0,6.89
120,0,0,0,0,29.4,13.72,0,35.28,1.96,0,17.64,21.56,0,1.96,7.84,3.92,1.96,3.92,1.96,5.88,13.72,3.92,7.84,3.92,103.87,0,3.92,3.92,0,0,13.72,0,0,1.96,0,0,5.88,3.92,1.96,5.88,0,1.96
