stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,12.59,0,0,298.96,0,0,0,0,0,0,37.76,0,0,0,0,0,0
 14-21,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,48,6,0,0,0,0,3,2,120,0,70,685,37,0,0,0,0,0
 24-34,0,0.82,0.82,0,4.93,0,0,1.64,0.82,0,0.82,0,0,0,0,0,4.93,0,7.39,288.94,3.28,7.39,0,0,0,5.75,0,0.82,0.82,9.85,147.75,137.08,0,0,0.82,0,0
 36-46,0,0,0,0,10.47,0,0,5.64,0.81,0,0,0,0,0,0,0,12.09,0.81,14.5,903.96,0,8.06,0,0,0,4.03,0,0,0,3.22,3.22,293.26,0,0,0,0,0.81
 48-58,0,0,3.44,0,80.91,2.3,2.3,20.66,9.18,0,1.15,0.57,0,0,0.57,1.72,14.35,0.57,33.85,1171.71,0.57,2.87,0.57,0,0,4.59,0,0,0,0.57,0,284.61,0,0,0,0,1.15
 60-70,0,0,4.91,0,376.9,6.87,0.98,19.63,14.72,0,0,0,0,0,0.98,0,19.63,0.98,21.59,1722.57,0,1.96,0,0,0.98,5.89,0,0.98,0,1.96,0,269.92,0,0,0,0,0.98
 72-82,0,0.98,8.83,0.98,550.71,1.96,0,18.65,31.41,0,1.96,0,0,0,0,0.98,38.28,1.96,25.52,1588.33,0,7.85,0.98,0,1.96,4.91,0,0,0,0,0,142.34,0,3.93,4.91,1.96,0
 84-94,0,2.12,12.74,2.12,317.55,2.12,2.12,12.74,29.74,2.12,0,4.25,0,0,0,0,23.36,3.19,16.99,721.12,0,1.06,1.06,0,2.12,11.68,0,0,0,1.06,0,84.96,2.12,2.12,0,2.12,0
 96-106,0,1.09,13.11,1.09,296.16,3.28,0,7.65,39.34,0,2.19,0,0,0,1.09,1.09,19.67,0,18.58,630.57,1.09,9.84,0,0,6.56,8.74,0,0,0,1.09,0,28.41,1.09,2.19,1.09,2.19,0
108-118,0,0,8.43,1.53,239.75,3.06,0.77,9.96,26.81,0,0,3.06,0.77,0.77,0,0.77,15.32,3.06,25.28,669.45,0,4.6,0.77,0,6.13,8.43,0,0,0.77,0,0,17.62,0.77,0.77,1.53,1.53,0
120,0,0,5.88,1.96,180.3,3.92,1.96,3.92,37.24,1.96,0,0,0,0,0,1.96,23.52,0,33.32,642.81,1.96,3.92,1.96,0,0,5.88,0,0,0,0,0,27.44,0,0,1.96,0,3.92
