stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,36.8,149.84,0,60.46,0,0,36.8,0,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,4229.6,186.64,0,0,1821.7,0,15.77,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,239.17,0,361.9,0,6.29,62.94,0,0,0,0,0,25.18,0,0,0,0,0,0,0,0,0,0,0,5208.23,352.46,0,0,3644.19,0,9.44,0,15.73,213.99,0,15.73,31.47,0,0,0,0
 14-21,1,3,0,143,1017,60,12,0,3,0,178,42,2,2,0,8,0,2,13,3,428,2,0,443,1329,251,1,8,194,0,118,1,892,75,53,613,2685,0,21,0,0
 24-34,0,0,0,48.43,173.2,6.57,19.7,0.82,3.28,4.1,167.45,7.39,0,0,0,1.64,1.64,12.31,13.13,0,308.64,3.28,3.28,243.79,874.21,13.95,1.64,4.1,0.82,0,182.23,0,2.46,19.7,2.46,64.03,1759.92,0,64.03,0,0
 36-46,0,0,0,3.22,41.09,1.61,16.92,4.83,4.03,12.09,118.43,4.83,0,0,0,0,0.81,16.92,0.81,0.81,259.43,0,12.09,140.19,503.54,14.5,2.42,0.81,0,0,77.34,0.81,0,4.83,0.81,3.22,1517.08,0,10.47,0,0.81
 48-58,0,0,0,0.57,20.66,0,38.44,5.16,1.72,20.08,86.07,3.44,0,0,1.15,0,0.57,11.48,0.57,0.57,218.62,0.57,13.2,88.37,429.21,10.33,0.57,0.57,0.57,1.72,44.18,0,0,3.44,4.02,0,970.88,0.57,6.89,0.57,1.72
 60-70,0,0,0.98,0.98,7.85,0,18.65,1.96,2.94,12.76,69.69,3.93,0,1.96,0,0,0.98,1.96,0.98,0,142.32,0,15.7,48.09,263.05,7.85,0,0,0,0,41.22,0,0,3.93,0,0,412.24,5.89,6.87,1.96,0.98
 72-82,0,0,5.89,0,14.72,0.98,46.14,2.94,2.94,15.71,154.12,12.76,0,1.96,0.98,0,0,7.85,0.98,0.98,166.88,0.98,25.52,68.72,218.91,4.91,0,0,0,0.98,39.27,0,0,4.91,0,0,249.34,6.87,8.83,2.94,3.93
 84-94,0,0,2.12,0,12.74,0,41.42,2.12,6.37,7.43,122.13,33.99,0,0,1.06,3.19,0,6.37,0,1.06,118.95,1.06,11.68,54.16,138.06,10.62,0,1.06,0,0,129.57,0,0,4.25,1.06,0,159.31,10.62,7.43,10.62,2.12
 96-106,0,0,2.19,0,18.58,1.09,30.6,3.28,4.37,13.11,90.71,22.95,0,0,2.19,2.19,0,4.37,0,0,109.28,1.09,14.21,24.04,110.38,3.28,0,2.19,1.09,3.28,68.85,0,0,4.37,2.19,0,71.04,9.84,6.56,12.02,2.19
108-118,0,0,1.53,0,10.72,1.53,16.85,1.53,3.83,13.02,79.66,15.32,0,0,0.77,2.3,1.53,1.53,0.77,1.53,111.83,0.77,14.55,32.94,128.68,8.43,2.3,0.77,0,3.83,52.09,0,0,3.06,0.77,0,45.19,4.6,5.36,7.66,0.77
120,0,0,0,0,13.72,0,11.76,0,7.84,5.88,56.83,15.68,0,0,1.96,0,0,0,1.96,0,76.43,0,15.68,17.64,76.43,17.64,0,0,0,1.96,86.23,0,0,3.92,3.92,0,29.4,5.88,0,9.8,0
