stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,61.3,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,15.77,0,5.26,0,0,0,15.77,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,86.75,2.63,0,0,44.69,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,12.59,0,3.15,0,28.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.91,3.15,0,0,66.09,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,10,3,0,4,0,0,0,3,1,0,0,0,0,0,0,0,3,0,0,6,46,0,0,0,0,0,1,1,0,1,3,19,0,0,0,0,0
 24-34,0,0,0.82,0,4.1,0,0,7.39,0,0,0,0.82,0,0,0,0.82,0,0.82,0,0,7.39,0,0.82,4.93,88.65,0.82,4.1,1.64,0,0,5.75,0,0,0.82,2.46,17.24,0,0,1.64,0,2.46
 36-46,0,0,0,0,2.42,0,0,12.09,0.81,0,0,6.45,0,0,0,0.81,0,0,0,0.81,16.11,0,0.81,5.64,96.68,0.81,0,0,0,0.81,2.42,0,0,0,0,24.17,0,0,4.03,0,0
 48-58,0,0,0,0,2.87,0,0,23.53,0,0.57,0.57,6.31,0,0,0.57,0,0,0,0,0.57,11.48,0,0,1.72,59.68,0.57,0.57,0,0,0,1.72,0,0,0.57,0,9.18,0,0,0.57,0,0
 60-70,0,0,0,0,0,0,0,35.33,0,0.98,1.96,11.78,0,0,2.94,0,0,0.98,0,0,20.61,0,1.96,2.94,100.12,0,0,0,0,0.98,2.94,0,1.96,0,0,8.83,0,2.94,1.96,0,1.96
 72-82,0,0,0.98,0,1.96,0.98,0,28.47,0.98,0,0.98,9.82,0,0,0.98,0,0,0,0,0,20.61,0.98,0.98,1.96,74.61,0,1.96,2.94,0,0.98,4.91,0,0,0,0,4.91,0,0.98,3.93,0,0.98
 84-94,0,0,0,0,4.25,0,0,28.68,0,0,0,14.87,1.06,1.06,0,0,1.06,0,0,1.06,24.43,0,1.06,0,47.79,0,1.06,1.06,0,0,14.87,0,0,0,0,8.5,0,1.06,2.12,2.12,1.06
 96-106,0,0,0,0,4.37,1.09,1.09,21.86,4.37,1.09,0,6.56,2.19,0,2.19,1.09,1.09,0,0,0,16.39,0,3.28,1.09,39.34,2.19,1.09,3.28,0,0,12.02,0,0,0,0,1.09,1.09,0,4.37,1.09,0
108-118,0,0,0,0,4.6,1.53,0.77,21.45,0.77,0.77,2.3,8.43,2.3,0,0.77,1.53,2.3,0.77,0.77,0,16.85,0,0,0.77,37.53,0,3.06,0.77,0,0.77,6.89,0,1.53,0,0,0.77,0,0,6.89,0.77,3.06
120,0,0,0,0,3.92,3.92,1.96,17.64,0,0,0,17.64,3.92,0,1.96,1.96,0,1.96,0,0,19.6,1.96,0,9.8,50.95,1.96,5.88,1.96,0,1.96,5.88,0,5.88,0,0,0,0,0,1.96,1.96,0
