stage,blastomeres,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,immune,ionocyte,lateral.line,mesenchyme,muscle,neural,olfactory,otic,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,1,1,1,0,0,0,0,0,0,1,12,0,0,1,1,1,0,1,0,0
 24-34,0,1.64,0.82,0,0,0.82,0,0.82,0,4.1,0.82,59.92,0.82,0,0,0.82,7.39,0,0,0,0
 36-46,0,0,3.22,0,0,4.83,0,0.81,0.81,3.22,0,142.6,0,0,0,0,4.83,0,0.81,0,0.81
 48-58,0,0,24.1,0,0,10.9,0,0,0,4.02,1.15,301.82,1.15,0,0,0,18.94,0,0,0,0
 60-70,0,0.98,23.56,0,0,13.74,0,0,0,4.91,0.98,355.31,1.96,0,0.98,0,26.5,0.98,0,0,0
 72-82,0,0,46.14,0.98,0,8.83,0.98,0,0,6.87,1.96,290.57,4.91,1.96,0,0,22.58,0,0,0,0.98
 84-94,0,1.06,27.61,0,0,5.31,0,0,0,5.31,2.12,150.81,3.19,2.12,1.06,0,15.93,0,0,0,0
 96-106,0,0,18.58,0,0,5.46,0,0,0,4.37,0,110.38,6.56,3.28,0,0,3.28,0,0,0,0
108-118,0,0.77,9.96,0,0.77,6.13,0.77,0,0,4.6,0,130.21,3.83,1.53,0,0,1.53,0,0,0.77,0
120,0,3.92,5.88,1.96,0,1.96,0,0,0,3.92,0,99.95,0,0,1.96,0,0,0,0,0,0
