stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,6.13,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,7,2,0,0,0,0,2,1,0,1,2,0,0,0,0,0
 24-34,0,0.82,0,0,0,4.93,2.46,0.82,0,0,0,0,39.4,0,0,0,0,2.46,4.1,0,0,73.06,0.82,0.82,0,0,0,1.64,0,0,1.64,26.27,0,0,0,0,0
 36-46,0,0.81,0,0,0,5.64,1.61,3.22,0.81,0,0,0,20.14,0,0,0,0,0.81,3.22,0,0.81,232.03,0.81,4.03,0,0,0,1.61,0,0,0,40.28,0,0,0,0,0
 48-58,0,0.57,4.02,0,0,30.99,2.87,3.44,2.87,0,0,0,6.31,0,0,0.57,1.15,5.16,0.57,0,1.72,287.48,0,2.87,0,0,0,1.15,0,0,0,40.17,0,0,0,0,0
 60-70,0,0.98,3.93,0,0,240.47,3.93,0.98,1.96,0,0,0.98,11.78,2.94,0,0,1.96,3.93,0,0,1.96,603.64,0,0.98,1.96,0,0,0,0,0,0,69.69,0,0,0,0,0.98
 72-82,0,2.94,6.87,0,0,551.69,4.91,2.94,32.39,0.98,0,0,6.87,5.89,0.98,2.94,6.87,15.71,0,0.98,0.98,644.95,0,3.93,2.94,0,0,1.96,0,0.98,0,64.79,0,0.98,1.96,0,1.96
 84-94,0,4.25,6.37,4.25,0,311.18,11.68,2.12,27.61,1.06,0,0,26.55,13.81,0,0,7.43,12.74,1.06,1.06,2.12,357.91,0,6.37,0,0,0,5.31,0,0,0,35.05,0,2.12,0,2.12,0
 96-106,0,4.37,4.37,3.28,0,371.57,9.84,1.09,24.04,0,0,4.37,24.04,15.3,0,1.09,8.74,20.76,1.09,2.19,1.09,354.08,0,4.37,2.19,0,1.09,5.46,0,0,0,21.86,0,1.09,1.09,1.09,1.09
108-118,0,3.06,9.96,0.77,0.77,254.3,14.55,3.83,21.45,1.53,1.53,0.77,19.15,20.68,0.77,0,13.02,11.49,1.53,0,0,355.41,0,1.53,0.77,0,0,0,0,0,0,20.68,0.77,0,0.77,0.77,1.53
120,0,1.96,7.84,1.96,0,211.66,7.84,1.96,23.52,0,0,0,13.72,3.92,1.96,0,5.88,5.88,0,0,0,458.59,0,1.96,0,0,0,1.96,0,0,0,33.32,0,0,0,0,1.96
