stage,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,taste,vasculature,xanthophores
 10-12,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,48,1,0,0,0,0,0,0,2,0,2,0,6,0,1,0,2,12,0,6,26,1,2,0,0,1,0,0,0
 24-34,1.64,22.16,0,0.82,0,0,0,0,0,15.6,0.82,3.28,0,40.22,0,4.93,2.46,5.75,42.68,1.64,21.34,27.09,0,2.46,0,0.82,3.28,0,0,0.82
 36-46,0,3.22,0,2.42,0,0,0,0.81,0,6.45,0,0,0,16.92,0,4.03,0.81,4.83,45.92,0,8.06,18.53,0,5.64,0,0,3.22,0,0,0
 48-58,0,1.15,0,8.03,0.57,0,0,1.15,0,24.67,0,1.15,0,16.07,0,6.31,1.15,2.87,40.17,0.57,2.87,18.36,0,0.57,0,0,4.02,0,0,0
 60-70,0,0,0,29.45,0,0,0,0.98,0,9.82,0,0,0,18.65,0,3.93,0,0.98,32.39,0,1.96,29.45,0,0,0,0,2.94,0,0,0
 72-82,0,2.94,0,15.71,0,0,0,3.93,0,5.89,0.98,0,0,34.36,0,0,0,0,37.3,0,2.94,58.9,0,0.98,0,0,4.91,1.96,0,0
 84-94,0,1.06,0,12.74,0,0,0,1.06,0,11.68,0,0,0,54.16,0,3.19,0,1.06,22.3,0,11.68,81.78,0,1.06,0,0,3.19,19.12,0,0
 96-106,0,4.37,1.09,12.02,0,2.19,0,1.09,3.28,1.09,1.09,0,0,93.98,2.19,1.09,0,0,20.76,0,19.67,98.36,0,0,0,0,2.19,44.81,0,0
108-118,0.77,0,0,15.32,0,0,0.77,2.3,0,0,0,0,0.77,62.81,0,4.6,0,0.77,17.62,0.77,9.96,74.3,0,0,0.77,0,0.77,42.89,0.77,0
120,0,0,0,19.6,0,0,0,0,0,0,0,0,0,37.24,0,7.84,0,0,19.6,0,13.72,80.35,0,3.92,0,0,1.96,27.44,1.96,0
