stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,2,3,0,1,0,0,0,4,0,0,7,0,0,0,0,2,0,0,1,10,0,0,0,0,0,1,189,0,0,0,0,0
 24-34,0,0,0.82,1.64,0,0,1.64,0,0,0,4.1,0,0,6.57,0,0,0,0,11.49,0,0,18.88,20.52,0,0,0,0.82,0,0,119.02,0,0,3.28,0,0
 36-46,0.81,0,1.61,1.61,0.81,0,1.61,0.81,0,0,2.42,0,0,16.92,0,0,0,0,8.86,0,0,6.45,15.31,0.81,0,0,1.61,0.81,0,56.4,0,0,0.81,0,0.81
 48-58,0,0,1.15,2.3,0.57,0,4.02,0,0,1.15,9.18,0,0,13.77,0,0,0,0,9.75,0,0,1.72,17.21,0,0,0,0,0,0,33.85,0,0,2.87,0,0.57
 60-70,0,0,0.98,0,0,0,7.85,0,0,0,44.17,0,0,2.94,0,5.89,0,0,4.91,0,0,2.94,23.56,0,0,0,0,0,0.98,12.76,0,0,0,0,0.98
 72-82,0,0,0.98,0.98,4.91,0,27.49,0,0,0.98,194.37,0,0,22.58,0,12.76,0.98,0,17.67,0.98,0.98,1.96,54.97,0,0,0,3.93,0,0.98,11.78,1.96,0,0.98,0.98,1.96
 84-94,0,0,1.06,6.37,0,0,11.68,0,0,0,176.3,2.12,0,75.4,0,9.56,0,1.06,21.24,0,0,4.25,30.8,0,1.06,0,8.5,0,1.06,7.43,0,1.06,1.06,0,3.19
 96-106,0,0,2.19,19.67,6.56,1.09,36.06,0,4.37,0,291.79,5.46,1.09,32.79,1.09,3.28,1.09,1.09,43.71,2.19,1.09,6.56,67.76,2.19,3.28,0,18.58,0,1.09,6.56,1.09,1.09,4.37,1.09,1.09
108-118,0,0,8.43,10.72,1.53,3.06,30.64,0,0,1.53,269.62,0.77,1.53,32.17,0.77,2.3,0,2.3,36.77,0.77,0,5.36,59.75,1.53,0,2.3,5.36,0,0,5.36,0,0.77,2.3,0.77,6.13
120,0,0,1.96,3.92,7.84,0,19.6,1.96,1.96,1.96,311.61,1.96,0,17.64,1.96,0,0,1.96,47.03,0,0,3.92,62.71,1.96,0,1.96,1.96,0,1.96,9.8,0,0,5.88,0,1.96
