stage,epidermis,eye,gut,iridophores,lateral.line,mesenchyme,neural,otic,periderm,spinal.cord,vascular.smooth.muscle
 24-34,0,0,0,0,0,0,9.03,0,0,2.46,0
 36-46,0,0.81,0,0,0,0,20.14,0,0,12.09,0
 48-58,0,5.16,0,0,0,0,26.4,0,0,5.74,0
 60-70,0,11.78,0,0,0,0.98,47.11,0,0,5.89,0
 72-82,0.98,26.5,0,0,0.98,0,34.36,0,0,5.89,0
 84-94,0,10.62,0,0,0,0,21.24,2.12,1.06,0,1.06
 96-106,0,9.84,2.19,1.09,0,0,13.11,0,0,0,0
108-118,0,5.36,0,0,0,0.77,6.13,0.77,0,0,0
120,0,5.88,0,0,1.96,0,9.8,3.92,0,0,0
