stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fin_epithelia,glial,gut,heart,ionocyte,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle
  3-4,13.18,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,2.63,0,7.89,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,0,2,0,0,1,0,0,0,0,2,0,0,8,0,1,0,0,0,1,5,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,0,0,0.82,0,0,11.49,0,0,0,2.46,0.82,0,0,0,0
 36-46,0,0,0,0,0.81,2.42,0,0.81,0,0.81,0,0,0,0,0,11.28,0,0,0,2.42,0,0,0.81,0,0
 48-58,0,0,0,0,0,4.02,0,0,0,0.57,0,0,1.15,0,0,2.87,0,0,0,1.15,0,0,0,0,0
 60-70,0,0,0,0,0,25.52,0,0.98,0,0,0,0,0,0,0.98,4.91,0,0,0,1.96,0,0,0.98,0,0
 72-82,0,0,0,0,0,15.71,0.98,0,0,0,0,0,1.96,0.98,0,2.94,0,0,0,1.96,0,0,0,0,0
 84-94,0,0,0,0,0,14.87,0,0,2.12,0,1.06,0,4.25,0,0,2.12,0,0,0,1.06,0,0,0,1.06,0
 96-106,0,0,0,0,0,5.46,0,1.09,4.37,0,0,0,1.09,0,0,4.37,0,0,0,7.65,0,0,1.09,0,1.09
108-118,0,0,1.53,0,0,3.06,0.77,1.53,4.6,0,0.77,0.77,0.77,0,0.77,3.83,0,0,0,5.36,0,0,0.77,0,0
120,0,0,0,0,3.92,0,0,0,5.88,0,0,0,0,0,0,1.96,0,0,0,3.92,0,0,0,0,0
