stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0
  7-9,0,0,10.51,0,0,7.89,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,23.66,0,0,0,7.89,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,18.88,6.29,0,0,25.18,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,12,13,5,0,0,0,6,0,1,0,0,0,0,0,0,2,40,0,0,40,140,5,1,46,1,0,2,21,1,1,18,51,0,0,8,0
 24-34,0,0.82,0.82,7.39,4.1,5.75,0,4.1,2.46,3.28,1.64,0,0,0,0,0.82,0,0,0.82,147.75,0,0,66.49,123.13,18.88,1.64,26.27,0,0,0,0.82,0,0,4.93,23.8,0,0,48.43,0
 36-46,0,0,0,2.42,0,4.83,0,0.81,10.47,6.45,0,0,0,0,0,0,0.81,0,0,192.55,0,0.81,42.7,59.62,13.7,0.81,16.92,0,0,1.61,0,0,0,0,12.09,0,0,11.28,1.61
 48-58,0,0,0,3.44,0,7.46,0.57,0,21.23,22.38,0,0,0,0,0,0,1.15,0.57,1.15,255.92,0,0,34.43,75.74,2.3,0,18.36,0.57,0,0.57,0,0,0,0,11.48,0,0,9.75,4.59
 60-70,0,0,0,1.96,0,9.82,0.98,0,24.54,60.85,0,0,0,0,0.98,0.98,0,0,4.91,330.77,0,0.98,25.52,62.82,0.98,0,15.7,0,0,0.98,0,0,0,0,9.82,0,2.94,9.82,2.94
 72-82,0,0.98,0,3.93,0.98,25.52,0,0.98,34.36,78.53,0,0,0.98,0,0.98,1.96,0.98,1.96,3.93,488.87,0,1.96,40.25,77.55,0.98,0,28.47,0,0,0,0,0,0,0,8.83,0.98,0.98,19.63,5.89
 84-94,0,1.06,0,5.31,0,24.43,0,0,27.61,46.73,3.19,0,0,0,0,2.12,0,2.12,4.25,338.79,0,2.12,21.24,59.47,2.12,0,23.36,0,1.06,0,0,4.25,0,0,1.06,0,0,23.36,4.25
 96-106,0,1.09,0,4.37,1.09,21.86,0,3.28,29.51,49.18,2.19,0,3.28,1.09,0,2.19,2.19,0,2.19,355.18,1.09,1.09,25.14,65.57,2.19,0,51.36,0,2.19,0,0,1.09,0,0,6.56,0,1.09,14.21,4.37
108-118,0,1.53,0,6.13,0.77,13.79,0,2.3,21.45,47.49,0,0,2.3,0.77,0,11.49,2.3,1.53,1.53,392.94,0,0.77,20.68,65.11,1.53,0,30.64,0,0,0.77,0,0.77,0,0,2.3,0.77,0,10.72,3.06
120,0,0,0,0,0,17.64,0,0,23.52,31.36,1.96,0,0,1.96,0,3.92,1.96,1.96,1.96,262.61,0,1.96,21.56,47.03,3.92,0,21.56,0,3.92,0,0,1.96,0,0,0,0,1.96,11.76,3.92
