stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,heart,immune,iridophores,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vasculature,visceral.smooth.muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,1,8,0,0,0
 24-34,0,0,0.82,0,0.82,0,0,0,0.82,0,0,0,0.82,0,64.85,0,0.82,0,0,0,0.82,0,32.83,0,0,0
 36-46,0,0,0,0,4.03,0,0,0,0,0,0,0,0.81,0,215.11,0.81,2.42,0,0,0,0.81,0,63.65,0,0,0
 48-58,0,0,0.57,0,10.9,0,2.3,0,0,0.57,0.57,0,1.15,0.57,255.34,0,2.3,0,0,0,0,0,48.77,0,0.57,0
 60-70,0,0,0.98,0,82.45,0.98,3.93,0,0,0,0,0,2.94,1.96,520.21,0,3.93,0,0,0,0,0,62.82,0,0,0
 72-82,0,0,1.96,1.96,141.36,0,8.83,0,0,0,0,0,12.76,0.98,506.54,0,1.96,0.98,0,0,0,0,42.21,0,0,0
 84-94,0,0,1.06,0,124.26,0,6.37,0,0,0,0,0,4.25,0,338.79,0,1.06,0,0,0,0,0,21.24,0,0,1.06
 96-106,0,1.09,3.28,0,107.1,0,4.37,0,0,0,0,0,3.28,0,230.59,0,2.19,0,1.09,0,0,0,9.84,1.09,0,1.09
108-118,0,0.77,3.83,0,68.17,0,3.83,1.53,0,0,0,0,1.53,0.77,259.66,0,0.77,0,0.77,0,0.77,0,8.43,0,0,0
120,0,0,0,0,43.12,0,5.88,0,0,0,0,1.96,1.96,0,243.01,0,0,0,0,0,0,0,3.92,0,0,0
