stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,glial,gut,heart,immune,iridophores,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0
  7-9,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,18,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,5.75,0,0,0,0,0,0,0,0,0.82,0,156.78,0,0,0,0,1.64,4.93,0,0
 36-46,0,0,0,0,11.28,0,2.42,0,0.81,0,0.81,0,0,0,0,149.85,1.61,0,0,0,0,5.64,0,0
 48-58,0,0,0.57,0,12.62,0,4.59,0,0,0,0,0,0,1.15,0,100.99,0,0.57,1.15,0,0,4.59,0.57,0
 60-70,0,0,2.94,0,32.39,0,3.93,0,0,0.98,0,0,0,0,0,60.85,0,0,0,0,0,0.98,0.98,0
 72-82,0,0,0.98,0,160.01,0,8.83,0,0,0,0,0.98,0,4.91,0,46.14,0,0,0,0,0,0.98,0,0.98
 84-94,0,0,0,0,172.05,0,4.25,0,0,0,0,0,0,1.06,0,31.86,0,1.06,0,0,0,1.06,0,0
 96-106,0,0,3.28,0,204.36,1.09,4.37,1.09,0,2.19,0,0,1.09,1.09,0,27.32,0,1.09,0,0,0,0,1.09,0
108-118,0,0,0.77,0,176.17,0.77,2.3,0,0,0.77,0,0,1.53,3.06,0,39.83,0,0,0,0,0.77,0,0,0
120,0,0,0,1.96,166.58,0,5.88,0,0,1.96,0,0,0,5.88,1.96,39.2,0,0,1.96,0,0,0,0,0
