stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,5,0,0,4,0,0,0,2,1,0,0,0,2,0,0,4,6,0,0,5,5,0,0,0,0,0,0,0,0,0,2,1,24,0,0,1,0,0
 24-34,0,0,0,7.39,0,0,4.1,0.82,0,0,8.21,0,0,1.64,1.64,7.39,0,0,13.95,30.37,0,0,64.03,18.06,0.82,0,0,0,0,1.64,0,0.82,0.82,6.57,1.64,41.86,0,0,3.28,0,11.49
 36-46,0,0,0,0.81,0,0,1.61,0.81,0,0.81,4.03,0.81,0,3.22,0,1.61,0.81,0,5.64,46.73,0,0,58.01,14.5,0,0,0,0,0,0.81,0,1.61,1.61,8.86,0,30.62,0,0,0.81,0,7.25
 48-58,0,0,0,1.72,0,0,5.16,6.89,0,0,2.87,0,0,4.02,0,1.72,0,0,1.15,33.28,0.57,0.57,44.18,28.12,0,0,0,0,0,0,0,0,0.57,18.94,0,25.82,0,0,0.57,0,1.15
 60-70,0,0,0,0.98,0,0,3.93,18.65,0.98,1.96,0.98,0.98,0,6.87,0,0.98,0,0,0,19.63,0,0.98,20.61,98.15,0,0.98,0.98,0,0,0.98,0,0,0,19.63,0,13.74,0,1.96,0.98,0,0
 72-82,0,0,0.98,5.89,2.94,0,34.36,41.23,0,1.96,9.82,0.98,0,5.89,0.98,1.96,0,1.96,0.98,45.16,0,4.91,36.32,245.42,0.98,0,1.96,0.98,0,3.93,0,0,0,41.23,0,14.72,0,0,0.98,2.94,1.96
 84-94,0,0,0,4.25,4.25,0,44.61,75.4,0,0,4.25,1.06,0,14.87,0,3.19,0,0,2.12,28.68,0,0,33.99,143.38,0,0,2.12,0,0,7.43,0,0,1.06,62.66,0,15.93,1.06,2.12,2.12,0,0
 96-106,0,0,0,10.93,8.74,3.28,78.68,95.08,3.28,5.46,33.88,13.11,1.09,21.86,1.09,3.28,2.19,4.37,0,73.22,4.37,4.37,36.06,218.57,0,1.09,4.37,0,1.09,20.76,1.09,0,3.28,96.17,0,7.65,2.19,2.19,9.84,6.56,0
108-118,0,0,0.77,9.96,5.36,2.3,36.77,94.98,0.77,0,19.15,10.72,0,10.72,0,4.6,0,2.3,0.77,35.23,3.06,2.3,32.17,219.83,1.53,3.06,2.3,0,0,11.49,0,0,0,94.98,0,6.13,0,1.53,0.77,0.77,3.06
120,1.96,0,0,13.72,3.92,0,43.12,80.35,0,1.96,11.76,1.96,0,17.64,1.96,0,1.96,1.96,0,39.2,0,0,39.2,323.36,0,1.96,0,0,1.96,3.92,0,1.96,0,41.16,0,9.8,0,0,5.88,0,1.96
