stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,immune,ionocyte,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,periderm,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
 24-34,0,16.42,0,0,3.28,0,0,0,0,0,0.82,0,0,0,9.03,0,2.46,0,0,0,0
 36-46,0,8.86,0,3.22,4.03,0,0.81,0,0,0,0,0,0,0,3.22,0,0,0,0,0,0
 48-58,0,14.35,0,0,9.75,0,0,0,0,0,1.72,0,0,0.57,4.59,0.57,1.72,0,0,0,0.57
 60-70,0,10.8,0,2.94,12.76,0,0,0,0,0,0,0,0,0,3.93,0.98,1.96,0,0,0,0
 72-82,0,15.71,0,1.96,11.78,0.98,0.98,0.98,0.98,0,8.83,0,0.98,0,3.93,0,0,0,0,0,0
 84-94,0,20.18,0,2.12,24.43,1.06,1.06,1.06,1.06,0,4.25,1.06,0,0,2.12,0,1.06,0,0,2.12,0
 96-106,0,13.11,1.09,2.19,32.79,0,0,2.19,1.09,0,6.56,0,0,0,0,1.09,0,1.09,0,2.19,0
108-118,0,11.49,0,3.83,48.26,1.53,0,0,0,0.77,2.3,0,0,0,4.6,0,0,0,0.77,1.53,0
120,0,17.64,0,3.92,41.16,1.96,0,1.96,0,0,9.8,0,0,0,5.88,0,1.96,0,0,5.88,0
