stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,mesenchyme,neural,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord
  3-4,79.07,1515.46,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,649.74,0,0,0,0,0,6.13,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,31.54,10.51,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,0
 24-34,0,0,0,0,0,0,1.64,5.75,0,0.82,0,0.82
 36-46,0,0,0,0,0,0,4.03,7.25,0,1.61,0,3.22
 48-58,0,0,0,0,0,0,1.15,10.33,0,1.15,0,4.59
 60-70,0,0,0.98,0,3.93,1.96,1.96,12.76,0,0.98,0,1.96
 72-82,0,0,0,0.98,2.94,0,0,10.8,0,0.98,0,0
 84-94,0,0,1.06,0,1.06,0,1.06,2.12,0,1.06,0,1.06
 96-106,0,0,1.09,0,3.28,0,2.19,2.19,0,0,0,0
108-118,0,0,0,0,1.53,0,1.53,3.83,0,1.53,0,0
120,0,0,1.96,0,0,1.96,0,3.92,0,0,0,0
